>/home/user1/code/PPIKG/method/AFTGAN/data/SYS60k.seqs.tsv
>/home/user1/code/PPIKG/method/AFTGAN/data/SYS60k.txt
4932.YDR237W	4932.YPR043W
4932.YCR060W	4932.YLR182W
4932.YGR044C	4932.YPL021W
4932.YKL156W	4932.YLR333C
4932.YBR065C	4932.YFL017W-A
4932.YDR385W	4932.YEL054C
4932.YBR156C	4932.YBR160W
4932.YAL017W	4932.YJL164C
4932.YLR275W	4932.YLR398C
4932.YDL079C	4932.YNL154C
4932.YCR036W	4932.YDR287W
4932.YGL103W	4932.YKL203C
4932.YBR066C	4932.YKL171W
4932.YDR034C-C	4932.YOR142W-A
4932.YBL063W	4932.YDL134C
4932.YBL105C	4932.YIL120W
4932.YDR012W	4932.YHL033C
4932.YFL066C	4932.YML117W
4932.YGL103W	4932.YNR037C
4932.YKL062W	4932.YOR295W
4932.YDR041W	4932.YOL040C
4932.YDL143W	4932.YKL142W
4932.YJR048W	4932.YMR037C
4932.YML056C	4932.YPR161C
4932.YDL155W	4932.YPR025C
4932.YHR158C	4932.YIL118W
4932.YKL171W	4932.YLR138W
4932.YLR167W	4932.YMR037C
4932.YKR055W	4932.YLR425W
4932.YKL068W	4932.YPL093W
4932.YKL112W	4932.YPL122C
4932.YER146W	4932.YPR178W
4932.YBR112C	4932.YNL209W
4932.YDR292C	4932.YJR113C
4932.YKR090W	4932.YMR186W
4932.YHR203C	4932.YIL018W
4932.YBR088C	4932.YGL242C
4932.YER144C	4932.YKR094C
4932.YGR090W	4932.YJL191W
4932.YBR136W	4932.YGR044C
4932.YCL059C	4932.YLR441C
4932.YGL207W	4932.YOR224C
4932.YGR133W	4932.YJL047C
4932.YLR406C	4932.YPL079W
4932.YBR283C	4932.YGR034W
4932.YER102W	4932.YPL220W
4932.YDL079C	4932.YLR182W
4932.YIR008C	4932.YNL290W
4932.YGL189C	4932.YHL033C
4932.YLR362W	4932.YOR113W
4932.YKL009W	4932.YLR369W
4932.YER164W	4932.YHR090C
4932.YGR271W	4932.YMR125W
4932.YDL002C	4932.YKR008W
4932.YDR247W	4932.YGR261C
4932.YIL137C	4932.YPL232W
4932.YLR197W	4932.YNL163C
4932.YKL213C	4932.YLR397C
4932.YAL019W	4932.YDR386W
4932.YDR041W	4932.YNL005C
4932.YDR311W	4932.YER148W
4932.YAL017W	4932.YNL192W
4932.YER148W	4932.YKL058W
4932.YFR003C	4932.YOR178C
4932.YFR004W	4932.YGR054W
4932.YLR029C	4932.YLR441C
4932.YCR046C	4932.YNL306W
4932.YMR146C	4932.YPR041W
4932.YBL016W	4932.YGL209W
4932.YBL038W	4932.YHR141C
4932.YHL007C	4932.YHR129C
4932.YDR314C	4932.YPR175W
4932.YFR031C	4932.YNL209W
4932.YGR044C	4932.YOR141C
4932.YKL009W	4932.YLL008W
4932.YNR003C	4932.YOL005C
4932.YDR358W	4932.YIL173W
4932.YBR020W	4932.YMR186W
4932.YDR247W	4932.YLR210W
4932.YJL057C	4932.YPL150W
4932.YBL021C	4932.YBR088C
4932.YCR084C	4932.YPL089C
4932.YBL087C	4932.YEL054C
4932.YCR031C	4932.YNR037C
4932.YDR041W	4932.YFR032C-A
4932.YML001W	4932.YNL090W
4932.YLR075W	4932.YNL002C
4932.YDL136W	4932.YDR471W
4932.YDR177W	4932.YGL048C
4932.YER055C	4932.YPR033C
4932.YGR080W	4932.YJR065C
4932.YHR024C	4932.YLR172C
4932.YBR088C	4932.YGR270W
4932.YML063W	4932.YOL111C
4932.YBL061C	4932.YDL044C
4932.YGR234W	4932.YOR369C
4932.YHR203C	4932.YIL133C
4932.YLR075W	4932.YLR448W
4932.YAL017W	4932.YLR422W
4932.YNL102W	4932.YOR005C
4932.YMR068W	4932.YMR314W
4932.YDR159W	4932.YDR427W
4932.YLR131C	4932.YPR048W
4932.YKL073W	4932.YOR396W
4932.YDR116C	4932.YLL008W
4932.YBL005W-A	4932.YLR256W-A
4932.YIL044C	4932.YMR139W
4932.YHR064C	4932.YOR236W
4932.YLR113W	4932.YOR113W
4932.YDR253C	4932.YPR111W
4932.YBR268W	4932.YGR118W
4932.YCL024W	4932.YKL073W
4932.YBL072C	4932.YIL133C
4932.YDR224C	4932.YKL028W
4932.YHL019C	4932.YNL084C
4932.YJR040W	4932.YLR291C
4932.YGR214W	4932.YNL163C
4932.YDR418W	4932.YGL123W
4932.YNL106C	4932.YNL304W
4932.YDL137W	4932.YPR015C
4932.YBR251W	4932.YOL121C
4932.YDL159W	4932.YHR082C
4932.YAR042W	4932.YKL032C
4932.YGR148C	4932.YKR094C
4932.YGL241W	4932.YNL134C
4932.YMR188C	4932.YPL143W
4932.YDR500C	4932.YGL031C
4932.YDL061C	4932.YJL177W
4932.YMR093W	4932.YPR112C
4932.YKL166C	4932.YLL015W
4932.YIL035C	4932.YKL125W
4932.YDR247W	4932.YJR065C
4932.YBR009C	4932.YMR021C
4932.YKL006W	4932.YLR340W
4932.YDR155C	4932.YNR011C
4932.YER125W	4932.YOR353C
4932.YBL072C	4932.YDR450W
4932.YGR109C	4932.YLR442C
4932.YDR177W	4932.YHR076W
4932.YDL155W	4932.YDL179W
4932.YBR212W	4932.YNL245C
4932.YHR108W	4932.YLR167W
4932.YDR021W	4932.YNL178W
4932.YGL167C	4932.YLR182W
4932.YFR038W	4932.YJR052W
4932.YDL025C	4932.YGR203W
4932.YGL049C	4932.YNL178W
4932.YBL014C	4932.YML043C
4932.YBL105C	4932.YIL156W
4932.YGR155W	4932.YHR042W
4932.YCL024W	4932.YKR008W
4932.YGL206C	4932.YLR208W
4932.YCR051W	4932.YIL036W
4932.YDR075W	4932.YOR090C
4932.YAR018C	4932.YHR166C
4932.YIL044C	4932.YPR165W
4932.YAL044W-A	4932.YPL059W
4932.YGR232W	4932.YLR131C
4932.YDR172W	4932.YGL030W
4932.YDR415C	4932.YNL204C
4932.YHL027W	4932.YOL004W
4932.YGL103W	4932.YHR038W
4932.YCL024W	4932.YFR014C
4932.YKL180W	4932.YLR185W
4932.YFL029C	4932.YNL261W
4932.YEL022W	4932.YFL038C
4932.YHL019C	4932.YKL079W
4932.YDL070W	4932.YOR224C
4932.YJR094W-A	4932.YLR344W
4932.YDR041W	4932.YKR057W
4932.YDR416W	4932.YMR240C
4932.YGR109C	4932.YGR233C
4932.YDR454C	4932.YGR233C
4932.YBL003C	4932.YCR087C-A
4932.YBL088C	4932.YNL183C
4932.YBR060C	4932.YBR160W
4932.YBR143C	4932.YNL302C
4932.YDL083C	4932.YMR194W
4932.YFR037C	4932.YNL312W
4932.YBR044C	4932.YJL034W
4932.YGL174W	4932.YLL036C
4932.YKR094C	4932.YLR388W
4932.YFR041C	4932.YMR161W
4932.YAL029C	4932.YGR233C
4932.YGR044C	4932.YPL204W
4932.YDL082W	4932.YER074W
4932.YDR283C	4932.YNL047C
4932.YDR416W	4932.YPR025C
4932.YDR247W	4932.YGR155W
4932.YDR059C	4932.YIL001W
4932.YIL133C	4932.YPL143W
4932.YML064C	4932.YOR231W
4932.YBR175W	4932.YGL210W
4932.YDL209C	4932.YLR446W
4932.YDR096W	4932.YER169W
4932.YGL135W	4932.YLR069C
4932.YGL002W	4932.YGL137W
4932.YOR259C	4932.YPR204W
4932.YFL008W	4932.YLL050C
4932.YML026C	4932.YOR204W
4932.YAL005C	4932.YML064C
4932.YGR178C	4932.YHR015W
4932.YHR084W	4932.YJL194W
4932.YHR195W	4932.YLR183C
4932.YGR232W	4932.YMR106C
4932.YDL082W	4932.YLL039C
4932.YBR160W	4932.YGL019W
4932.YGL078C	4932.YLL036C
4932.YBR028C	4932.YGR296W
4932.YKL190W	4932.YOL113W
4932.YEL026W	4932.YOL127W
4932.YBL003C	4932.YJR052W
4932.YKL126W	4932.YML117W
4932.YGR232W	4932.YPR188C
4932.YBL105C	4932.YDL230W
4932.YKL010C	4932.YLR097C
4932.YFL039C	4932.YLR013W
4932.YGL203C	4932.YLR342W
4932.YJR145C	4932.YNL069C
4932.YCR027C	4932.YHR023W
4932.YIL160C	4932.YPL026C
4932.YDR054C	4932.YMR186W
4932.YMR207C	4932.YPL150W
4932.YER148W	4932.YGL249W
4932.YBR034C	4932.YOL012C
4932.YDR293C	4932.YMR165C
4932.YKL113C	4932.YMR048W
4932.YMR224C	4932.YPL153C
4932.YKL220C	4932.YLR113W
4932.YNL116W	4932.YNL217W
4932.YBL111C	4932.YHR147C
4932.YBL084C	4932.YPL031C
4932.YML015C	4932.YOR341W
4932.YER107C	4932.YPL184C
4932.YIL002C	4932.YOL065C
4932.Q0275	4932.YGL191W
4932.YFL029C	4932.YLR240W
4932.YKL116C	4932.YPL116W
4932.YLR020C	4932.YOR093C
4932.YDR041W	4932.YNL081C
4932.YBR234C	4932.YDL101C
4932.YLR229C	4932.YNR060W
4932.YDL079C	4932.YMR233W
4932.YNL082W	4932.YNL262W
4932.YAL038W	4932.YOR233W
4932.YDR174W	4932.YMR037C
4932.YIL001W	4932.YLR375W
4932.YBL112C	4932.YOL021C
4932.YHR107C	4932.YKR048C
4932.YIL112W	4932.YPL036W
4932.YGL103W	4932.YML073C
4932.YDR432W	4932.YGL078C
4932.YCL024W	4932.YGR296W
4932.YGL085W	4932.YKL171W
4932.YER169W	4932.YNL154C
4932.YML064C	4932.YML124C
4932.YIL004C	4932.YPL074W
4932.YBR066C	4932.YOR039W
4932.YIL121W	4932.YLR268W
4932.YKL014C	4932.YMR290C
4932.YJL110C	4932.YMR213W
4932.YBR026C	4932.YMR303C
4932.YDL002C	4932.YDR264C
4932.YDR450W	4932.YGR085C
4932.YAL024C	4932.YBR028C
4932.YER176W	4932.YPL167C
4932.YOR369C	4932.YPL249C-A
4932.YEL061C	4932.YMR198W
4932.YKL074C	4932.YML117W
4932.YHL001W	4932.YMR230W
4932.YMR168C	4932.YPL209C
4932.YAL019W	4932.YBR066C
4932.YBR136W	4932.YDR129C
4932.YBR087W	4932.YPL239W
4932.YIL021W	4932.YOR207C
4932.YJL191W	4932.YKR094C
4932.YDR375C	4932.YMR203W
4932.YDR045C	4932.YER171W
4932.YBL105C	4932.YJR036C
4932.YER111C	4932.YLR182W
4932.YOL040C	4932.YOR353C
4932.YIL036W	4932.YKR099W
4932.YBR208C	4932.YDR422C
4932.YDL202W	4932.YMR143W
4932.YAL040C	4932.YPL216W
4932.YBR031W	4932.YDR025W
4932.YGR188C	4932.YPL155C
4932.YBL038W	4932.YPR102C
4932.YLR070C	4932.YMR083W
4932.YDR448W	4932.YJR066W
4932.YJL176C	4932.YPR013C
4932.YDR294C	4932.YJR127C
4932.YHL015W	4932.YOR182C
4932.YDR337W	4932.YMR142C
4932.YGR118W	4932.YLL045C
4932.YJR066W	4932.YPR019W
4932.YMR287C	4932.YNL067W
4932.YHR082C	4932.YLR258W
4932.YDR012W	4932.YJR145C
4932.YDR243C	4932.YLL045C
4932.YJL095W	4932.YNR032W
4932.YDR129C	4932.YNL298W
4932.YEL077C	4932.YGR214W
4932.YBR220C	4932.YLR240W
4932.YDR216W	4932.YKR055W
4932.YJL221C	4932.YJR105W
4932.YDR026C	4932.YGR252W
4932.YKL203C	4932.YMR104C
4932.YDR235W	4932.YHL027W
4932.YDR054C	4932.YLR182W
4932.YHR171W	4932.YML001W
4932.YFR048W	4932.YJL098W
4932.YGR261C	4932.YOR233W
4932.YKR094C	4932.YPL038W
4932.YKL193C	4932.YLR167W
4932.YLR448W	4932.YPL178W
4932.YER041W	4932.YKL203C
4932.YER029C	4932.YOR373W
4932.YDL202W	4932.YNL284C
4932.YBR088C	4932.YDR297W
4932.YCR072C	4932.YPR022C
4932.YGR162W	4932.YML063W
4932.YJL194W	4932.YLR103C
4932.YMR287C	4932.YNL232W
4932.YNL189W	4932.YOL135C
4932.YLR033W	4932.YLR055C
4932.YDR043C	4932.YGR232W
4932.YCR045C	4932.YPL239W
4932.YCR052W	4932.YNL031C
4932.YAR019C	4932.YOL088C
4932.YDL083C	4932.YDR139C
4932.YDL025C	4932.YKL203C
4932.YJL102W	4932.YMR128W
4932.YGL254W	4932.YKL209C
4932.YGL078C	4932.YPL026C
4932.YLR035C	4932.YOR033C
4932.YCR042C	4932.YIL143C
4932.YGR152C	4932.YOR353C
4932.YBL105C	4932.YCR038C
4932.YMR194W	4932.YPL081W
4932.YKL203C	4932.YNL053W
4932.YLR009W	4932.YOR293W
4932.YDR098C	4932.YOR180C
4932.YDR216W	4932.YML126C
4932.YEL009C	4932.YKL161C
4932.YER126C	4932.YKR084C
4932.YEL003W	4932.YML124C
4932.YIL052C	4932.YNL284C
4932.YGR276C	4932.YKL062W
4932.YPL256C	4932.YPR161C
4932.YDL083C	4932.YHR203C
4932.YNL002C	4932.YOR312C
4932.YOL111C	4932.YOL127W
4932.YGL237C	4932.YJL167W
4932.YMR068W	4932.YPL046C
4932.YGL207W	4932.YOR295W
4932.YGL154C	4932.YGL254W
4932.YLR229C	4932.YOL016C
4932.YDR405W	4932.YNL185C
4932.YFL034C-A	4932.YHR077C
4932.YDR293C	4932.YOR163W
4932.YER146W	4932.YGL173C
4932.YER171W	4932.YOR210W
4932.YJL056C	4932.YOR007C
4932.YGL123W	4932.YGR148C
4932.YMR154C	4932.YOR233W
4932.YHR164C	4932.YOL041C
4932.YBR079C	4932.YOR261C
4932.YMR106C	4932.YOR005C
4932.YDR482C	4932.YOR133W
4932.YDR289C	4932.YOL005C
4932.YBR208C	4932.YER028C
4932.YDR174W	4932.YGL158W
4932.YDR432W	4932.YMR216C
4932.YLL024C	4932.YNL098C
4932.YDL213C	4932.YNL112W
4932.YNL172W	4932.YOL133W
4932.YGR232W	4932.YOR090C
4932.YPL165C	4932.YPL230W
4932.YCR057C	4932.YJL109C
4932.YGL002W	4932.YGL216W
4932.YDR011W	4932.YOR233W
4932.YKL135C	4932.YOR101W
4932.YER179W	4932.YFL029C
4932.YKR081C	4932.YLR276C
4932.YLR086W	4932.YLR369W
4932.YHR164C	4932.YNL112W
4932.YJL005W	4932.YMR015C
4932.YHR030C	4932.YMR182C
4932.YDR216W	4932.YEL056W
4932.YER125W	4932.YPL240C
4932.YGL209W	4932.YOL122C
4932.YLR357W	4932.YMR037C
4932.YMR188C	4932.YMR260C
4932.YDL234C	4932.YGL210W
4932.YER086W	4932.YFR040W
4932.YNL102W	4932.YOR304W
4932.YGL070C	4932.YIL061C
4932.YCL024W	4932.YIL044C
4932.YGR092W	4932.YNL027W
4932.YHR084W	4932.YJL081C
4932.YKL180W	4932.YOR096W
4932.YLR167W	4932.YPR013C
4932.YMR194W	4932.YOR312C
4932.YCL043C	4932.YKL060C
4932.YOR346W	4932.YPL022W
4932.YLR210W	4932.YPL141C
4932.YAR015W	4932.YDR441C
4932.YBR263W	4932.YFR031C-A
4932.YBR276C	4932.YLL039C
4932.YJR063W	4932.YLL008W
4932.YMR276W	4932.YOR109W
4932.YHR038W	4932.YNL306W
4932.YGR027C	4932.YNL002C
4932.YPL213W	4932.YPL256C
4932.YGR031W	4932.YPL017C
4932.YGL242C	4932.YMR106C
4932.YHR099W	4932.YMR080C
4932.YBR191W	4932.YOR234C
4932.YDR092W	4932.YOR368W
4932.YGR155W	4932.YJR040W
4932.YBR189W	4932.YIL069C
4932.YDL116W	4932.YFR022W
4932.YBR072W	4932.YFL016C
4932.YER105C	4932.YGL092W
4932.YIL118W	4932.YNL065W
4932.YIR038C	4932.YJL097W
4932.YDR247W	4932.YKL101W
4932.YBL038W	4932.YJL189W
4932.YKL157W	4932.YMR192W
4932.YGR152C	4932.YNL161W
4932.YJR035W	4932.YMR304W
4932.YGR253C	4932.YOR117W
4932.YNL014W	4932.YPL270W
4932.YKL161C	4932.YOL111C
4932.YDL082W	4932.YGL123W
4932.YBR083W	4932.YKL010C
4932.YER022W	4932.YGR005C
4932.YBR109C	4932.YER129W
4932.YDL208W	4932.YDR473C
4932.YLR039C	4932.YNR023W
4932.YER054C	4932.YKR058W
4932.YOR136W	4932.YPL226W
4932.YMR139W	4932.YOR351C
4932.YNL021W	4932.YPL216W
4932.YEL030W	4932.YLR008C
4932.YDR062W	4932.YHR020W
4932.YCL068C	4932.YDL159W
4932.YER117W	4932.YNL069C
4932.YFR028C	4932.YIL036W
4932.YHR035W	4932.YPR181C
4932.YBL037W	4932.YJR005W
4932.YDR062W	4932.YDR099W
4932.YKR008W	4932.YOR113W
4932.YAL021C	4932.YGR108W
4932.YGR034W	4932.YOL040C
4932.YLR175W	4932.YLR318W
4932.YGL254W	4932.YPL089C
4932.YIL118W	4932.YOR353C
4932.YGL131C	4932.YIL126W
4932.YGL103W	4932.YOL127W
4932.YIL034C	4932.YIR003W
4932.YJL128C	4932.YPL140C
4932.YBR154C	4932.YPR056W
4932.YNL175C	4932.YOL088C
4932.YBR189W	4932.YHR021C
4932.YDR139C	4932.YPR173C
4932.YDL061C	4932.YLL039C
4932.YJR045C	4932.YOR373W
4932.YBR179C	4932.YNL106C
4932.YDR378C	4932.YLR216C
4932.YHR129C	4932.YOR303W
4932.YJR066W	4932.YMR190C
4932.YMR043W	4932.YNL065W
4932.YJL105W	4932.YJR127C
4932.YLR383W	4932.YNR032W
4932.YBR133C	4932.YPR120C
4932.YDR308C	4932.YHR058C
4932.YLR419W	4932.YMR229C
4932.YKL180W	4932.YOR063W
4932.YIL124W	4932.YPL091W
4932.YBR160W	4932.YIL126W
4932.YER074W	4932.YML063W
4932.YHR084W	4932.YLR180W
4932.YDR381W	4932.YER190W
4932.YER045C	4932.YNL053W
4932.YER048W-A	4932.YPL135W
4932.YBL105C	4932.YER028C
4932.YBL016W	4932.YGR232W
4932.YDR146C	4932.YPL239W
4932.YKL116C	4932.YNR016C
4932.YDL145C	4932.YPR165W
4932.YDR471W	4932.YER117W
4932.YGR108W	4932.YLR210W
4932.YJL073W	4932.YJR064W
4932.YLR369W	4932.YML064C
4932.YEL054C	4932.YHR141C
4932.YDR432W	4932.YEL030W
4932.YGL022W	4932.YGL226C-A
4932.YCR018C	4932.YPL026C
4932.YOL128C	4932.YPL230W
4932.YGR162W	4932.YJL190C
4932.YBR169C	4932.YMR214W
4932.YKL055C	4932.YKL126W
4932.YFR015C	4932.YPL026C
4932.YAL017W	4932.YLR238W
4932.YAL017W	4932.YMR036C
4932.YMR207C	4932.YPR022C
4932.YGR123C	4932.YKL161C
4932.YDR385W	4932.YLR344W
4932.YDL082W	4932.YOR369C
4932.YBR146W	4932.YFL034C-A
4932.YHR099W	4932.YPR015C
4932.YGL207W	4932.YGR097W
4932.YDR389W	4932.YNL090W
4932.YDR477W	4932.YLR182W
4932.YER133W	4932.YNL116W
4932.YGR285C	4932.YNL330C
4932.YCR084C	4932.YJL168C
4932.YGL209W	4932.YGR056W
4932.YGL191W	4932.YLR395C
4932.YJL187C	4932.YLR096W
4932.YBL075C	4932.YPL110C
4932.YGL076C	4932.YHR218W-A
4932.YDR096W	4932.YNR032W
4932.YER133W	4932.YLR028C
4932.YDR054C	4932.YML088W
4932.YAR002C-A	4932.YGL137W
4932.YDR258C	4932.YMR186W
4932.YGL210W	4932.YNL053W
4932.YPL203W	4932.YPR048W
4932.YJL105W	4932.YJL110C
4932.YCL068C	4932.YLR113W
4932.YBL088C	4932.YGR258C
4932.YJL041W	4932.YJL138C
4932.YDR021W	4932.YPR132W
4932.YGR078C	4932.YNL271C
4932.YOL040C	4932.YPR102C
4932.YIL036W	4932.YOR304W
4932.YKR094C	4932.YMR143W
4932.YGR148C	4932.YPR166C
4932.YGL123W	4932.YMR146C
4932.YAL005C	4932.YMR139W
4932.YDR146C	4932.YPR104C
4932.YDR337W	4932.YOL121C
4932.YBL105C	4932.YPL232W
4932.YNL301C	4932.YOR206W
4932.YDR174W	4932.YGL194C
4932.YBL079W	4932.YGL058W
4932.YHL004W	4932.YKL173W
4932.YMR068W	4932.YPL216W
4932.YER176W	4932.YKL203C
4932.YLR005W	4932.YMR277W
4932.YDR471W	4932.YML073C
4932.YCL010C	4932.YFL037W
4932.YFL029C	4932.YOR058C
4932.YDR427W	4932.YNL182C
4932.YKL170W	4932.YML024W
4932.YDR194C	4932.YHR168W
4932.YJL191W	4932.YLL045C
4932.YBR028C	4932.YNL065W
4932.YOR269W	4932.YPR022C
4932.YKL198C	4932.YPL106C
4932.YGL190C	4932.YNL157W
4932.YBR155W	4932.YGR209C
4932.YIL112W	4932.YPR108W
4932.YGR270W	4932.YOR075W
4932.YFR037C	4932.YGL254W
4932.YGR258C	4932.YML032C
4932.YDR092W	4932.YER179W
4932.YLL024C	4932.YOR353C
4932.YPL018W	4932.YPR046W
4932.YKL116C	4932.YOL128C
4932.YLR058C	4932.YOR133W
4932.YKL170W	4932.YKR094C
4932.YGL103W	4932.YOL023W
4932.YHR186C	4932.YKR055W
4932.YER099C	4932.YGR135W
4932.YDR139C	4932.YHR203C
4932.YDL079C	4932.YIL013C
4932.YDR012W	4932.YHL004W
4932.YDR496C	4932.YFL002C
4932.YBR198C	4932.YNR045W
4932.YGR296W	4932.YLL039C
4932.YDR041W	4932.YNL306W
4932.YMR308C	4932.YOR213C
4932.YHR039C-A	4932.YHR082C
4932.YHR218W	4932.YKL074C
4932.YDL137W	4932.YNL053W
4932.YIL046W	4932.YKL010C
4932.YDL155W	4932.YHL027W
4932.YLR376C	4932.YPL122C
4932.YGL103W	4932.YHR203C
4932.YJR032W	4932.YLR419W
4932.YBL051C	4932.YBR142W
4932.YBR011C	4932.YPL066W
4932.YCL024W	4932.YER089C
4932.YHR030C	4932.YIL036W
4932.YBR125C	4932.YLR362W
4932.YHR165C	4932.YJL102W
4932.YLL039C	4932.YOL065C
4932.YGR233C	4932.YMR314W
4932.YBR049C	4932.YOR396W
4932.YAL021C	4932.YPR094W
4932.YEL050C	4932.YLL039C
4932.YKL003C	4932.YLR075W
4932.YHR161C	4932.YJR125C
4932.YHR077C	4932.YMR121C
4932.YDR242W	4932.YIL165C
4932.YBR009C	4932.YER116C
4932.YER125W	4932.YPR068C
4932.YHL004W	4932.YLR406C
4932.YIL142W	4932.YMR033W
4932.YBR164C	4932.YKL196C
4932.YDR247W	4932.YFL029C
4932.YKR057W	4932.YMR188C
4932.YML009C	4932.YOR133W
4932.YDR139C	4932.YLR367W
4932.YLR258W	4932.YPL150W
4932.YLR325C	4932.YOR312C
4932.YBR214W	4932.YOR113W
4932.YBR088C	4932.YDR004W
4932.YBR159W	4932.YKL055C
4932.YGR078C	4932.YML085C
4932.YER164W	4932.YPL165C
4932.YER111C	4932.YOR257W
4932.YOL062C	4932.YOL065C
4932.YDR168W	4932.YPL240C
4932.YDR510W	4932.YMR182C
4932.YDR043C	4932.YLR210W
4932.YER074W	4932.YLR009W
4932.YJL063C	4932.YLR179C
4932.YER075C	4932.YKL193C
4932.YBL056W	4932.YPL026C
4932.YDL216C	4932.YLR399C
4932.YLR182W	4932.YPR104C
4932.YAL030W	4932.YMR197C
4932.YDL213C	4932.YNR011C
4932.YBR160W	4932.YNL152W
4932.YBR066C	4932.YNL304W
4932.YBL005W-A	4932.YDR210C-C
4932.YEL047C	4932.YLR164W
4932.YNL162W	4932.YNL302C
4932.YDR443C	4932.YNL236W
4932.YNL217W	4932.YNL304W
4932.YKL161C	4932.YPL242C
4932.YML092C	4932.YPL239W
4932.YER102W	4932.YGL031C
4932.YOR236W	4932.YPL230W
4932.YDL164C	4932.YMR304W
4932.YDL048C	4932.YJL081C
4932.YKR055W	4932.YNR012W
4932.YDR500C	4932.YER126C
4932.YML012W	4932.YOL012C
4932.YBL038W	4932.YHR148W
4932.YDL216C	4932.YMR276W
4932.YDL143W	4932.YJL111W
4932.YJL190C	4932.YOL121C
4932.YER006W	4932.YKL009W
4932.YJR040W	4932.YNL180C
4932.YHR104W	4932.YPL061W
4932.YGL104C	4932.YMR183C
4932.YKL173W	4932.YNL284C
4932.YGL030W	4932.YNL002C
4932.YDR086C	4932.YER131W
4932.YGR148C	4932.YMR188C
4932.YGR270W	4932.YLR078C
4932.YER056C-A	4932.YML063W
4932.YGR074W	4932.YML117W
4932.YDL134C	4932.YGL003C
4932.YBR237W	4932.YKL074C
4932.YBR031W	4932.YLR179C
4932.YDR054C	4932.YDR500C
4932.YLR009W	4932.YML025C
4932.YDR145W	4932.YPL216W
4932.YER045C	4932.YGR234W
4932.YER091C	4932.YLR259C
4932.YDL134C	4932.YHR099W
4932.YDL137W	4932.YEL061C
4932.YER133W	4932.YLR383W
4932.YHR021C	4932.YLR167W
4932.YIL126W	4932.YPR013C
4932.YIL118W	4932.YNL106C
4932.YDR473C	4932.YLR298C
4932.YPL015C	4932.YPR104C
4932.YLR117C	4932.YLR216C
4932.YNL216W	4932.YPR104C
4932.YPL003W	4932.YPR066W
4932.YGR095C	4932.YLR409C
4932.YBL032W	4932.YPL064C
4932.YDL014W	4932.YPL012W
4932.YHR084W	4932.YLL039C
4932.YKL194C	4932.YMR143W
4932.YDR038C	4932.YMR068W
4932.YGL194C	4932.YLR293C
4932.YLL008W	4932.YNL002C
4932.YDL229W	4932.YNL247W
4932.YDL143W	4932.YLR008C
4932.YNL302C	4932.YOL039W
4932.YER105C	4932.YJL039C
4932.YNL252C	4932.YPL013C
4932.YML065W	4932.YPL283C
4932.YGR192C	4932.YML103C
4932.YJR059W	4932.YLL001W
4932.YFL016C	4932.YPL150W
4932.YDL226C	4932.YIL002C
4932.YGR201C	4932.YOR076C
4932.YDL079C	4932.YGL058W
4932.YIL018W	4932.YJL136C
4932.YBR212W	4932.YNL307C
4932.YIL069C	4932.YLR048W
4932.YLR318W	4932.YPR015C
4932.YDL007W	4932.YGL242C
4932.YPL252C	4932.YPR067W
4932.YKL073W	4932.YPL061W
4932.YJL052W	4932.YJR045C
4932.YDL134C	4932.YNL127W
4932.YBR181C	4932.YPL143W
4932.YJL194W	4932.YOL133W
4932.YFL009W	4932.YNL008C
4932.YLR466W	4932.YPL116W
4932.YLL045C	4932.YMR080C
4932.YDL070W	4932.YHR084W
4932.YIL143C	4932.YPL240C
4932.YER148W	4932.YJR063W
4932.YER038C	4932.YNL252C
4932.YKL145W	4932.YOR123C
4932.YBL037W	4932.YIR006C
4932.YDL064W	4932.YLR210W
4932.YDR500C	4932.YIL018W
4932.YDR436W	4932.YOR109W
4932.YMR136W	4932.YPR013C
4932.YKL116C	4932.YOR231W
4932.YAL059W	4932.YMR229C
4932.YBR112C	4932.YJR127C
4932.YGR056W	4932.YLR013W
4932.YDL079C	4932.YIR013C
4932.YDL047W	4932.YIL144W
4932.YAL043C	4932.YMR137C
4932.YMR207C	4932.YPL038W
4932.YEL009C	4932.YGR233C
4932.YMR139W	4932.YPR052C
4932.YGR129W	4932.YOR133W
4932.YCR034W	4932.YHL048W
4932.YLR275W	4932.YPL184C
4932.YKR104W	4932.YLR131C
4932.YGL123W	4932.YPR100W
4932.YBR082C	4932.YPL150W
4932.YGL103W	4932.YGR220C
4932.YEL055C	4932.YPL126W
4932.YBR191W	4932.YDR172W
4932.YGR085C	4932.YNL002C
4932.YMR139W	4932.YMR214W
4932.YLR422W	4932.YPR165W
4932.YJR065C	4932.YMR154C
4932.YAL030W	4932.YDL058W
4932.YDR235W	4932.YPR120C
4932.YBR229C	4932.YIL172C
4932.YLR182W	4932.YNL182C
4932.YBR142W	4932.YMR012W
4932.YER102W	4932.YMR146C
4932.YER122C	4932.YNL098C
4932.YLR229C	4932.YOL113W
4932.YHL033C	4932.YJL033W
4932.YBR060C	4932.YDL155W
4932.YDL056W	4932.YPR022C
4932.YDL083C	4932.YKL170W
4932.YDL188C	4932.YOR141C
4932.YDR116C	4932.YPL081W
4932.YDL005C	4932.YOR063W
4932.YGL019W	4932.YLR418C
4932.YCL052C	4932.YDL095W
4932.YML078W	4932.YNL217W
4932.YDR175C	4932.YPL013C
4932.YER102W	4932.YOR078W
4932.YGL208W	4932.YOL128C
