>/home/user1/code/PPIKG/method/AFTGAN/data/protein.SHS27k.sequences.dictionary.tsv
>/home/user1/code/PPIKG/method/AFTGAN/data/protein.actions.SHS27k.STRING.txt
9606.ENSP00000259406	9606.ENSP00000261769
9606.ENSP00000228872	9606.ENSP00000216117
9606.ENSP00000261845	9606.ENSP00000221740
9606.ENSP00000215730	9606.ENSP00000228567
9606.ENSP00000246657	9606.ENSP00000222902
9606.ENSP00000232564	9606.ENSP00000256953
9606.ENSP00000020945	9606.ENSP00000224237
9606.ENSP00000215909	9606.ENSP00000225831
9606.ENSP00000012443	9606.ENSP00000217188
9606.ENSP00000215956	9606.ENSP00000216727
9606.ENSP00000222345	9606.ENSP00000241463
9606.ENSP00000224764	9606.ENSP00000226382
9606.ENSP00000000233	9606.ENSP00000222547
9606.ENSP00000248975	9606.ENSP00000005257
9606.ENSP00000230990	9606.ENSP00000252034
9606.ENSP00000025008	9606.ENSP00000247178
9606.ENSP00000217026	9606.ENSP00000043402
9606.ENSP00000007699	9606.ENSP00000242776
9606.ENSP00000219255	9606.ENSP00000250559
9606.ENSP00000225916	9606.ENSP00000160382
9606.ENSP00000215793	9606.ENSP00000216241
9606.ENSP00000164133	9606.ENSP00000262138
9606.ENSP00000254351	9606.ENSP00000029410
9606.ENSP00000261845	9606.ENSP00000005257
9606.ENSP00000013034	9606.ENSP00000253792
9606.ENSP00000157812	9606.ENSP00000164133
9606.ENSP00000222753	9606.ENSP00000249504
9606.ENSP00000243563	9606.ENSP00000035383
9606.ENSP00000260102	9606.ENSP00000199706
9606.ENSP00000217244	9606.ENSP00000229330
9606.ENSP00000167586	9606.ENSP00000252252
9606.ENSP00000217185	9606.ENSP00000253792
9606.ENSP00000156471	9606.ENSP00000215956
9606.ENSP00000261845	9606.ENSP00000261636
9606.ENSP00000211287	9606.ENSP00000260404
9606.ENSP00000054668	9606.ENSP00000245983
9606.ENSP00000246957	9606.ENSP00000083182
9606.ENSP00000248996	9606.ENSP00000262320
9606.ENSP00000215587	9606.ENSP00000230050
9606.ENSP00000172229	9606.ENSP00000215530
9606.ENSP00000168148	9606.ENSP00000223095
9606.ENSP00000222753	9606.ENSP00000222270
9606.ENSP00000215587	9606.ENSP00000215829
9606.ENSP00000260356	9606.ENSP00000052754
9606.ENSP00000251630	9606.ENSP00000224337
9606.ENSP00000229264	9606.ENSP00000249041
9606.ENSP00000226730	9606.ENSP00000245903
9606.ENSP00000157812	9606.ENSP00000216797
9606.ENSP00000229794	9606.ENSP00000257566
9606.ENSP00000219476	9606.ENSP00000225688
9606.ENSP00000219252	9606.ENSP00000156109
9606.ENSP00000228307	9606.ENSP00000248594
9606.ENSP00000216200	9606.ENSP00000158166
9606.ENSP00000215793	9606.ENSP00000247001
9606.ENSP00000251849	9606.ENSP00000216127
9606.ENSP00000007722	9606.ENSP00000231228
9606.ENSP00000254963	9606.ENSP00000249356
9606.ENSP00000250495	9606.ENSP00000215794
9606.ENSP00000005340	9606.ENSP00000261799
9606.ENSP00000206474	9606.ENSP00000262127
9606.ENSP00000211287	9606.ENSP00000257570
9606.ENSP00000226730	9606.ENSP00000216115
9606.ENSP00000217233	9606.ENSP00000224337
9606.ENSP00000162023	9606.ENSP00000222329
9606.ENSP00000174653	9606.ENSP00000248070
9606.ENSP00000258743	9606.ENSP00000170630
9606.ENSP00000161863	9606.ENSP00000260184
9606.ENSP00000246337	9606.ENSP00000219700
9606.ENSP00000155926	9606.ENSP00000226091
9606.ENSP00000080059	9606.ENSP00000225916
9606.ENSP00000172229	9606.ENSP00000261254
9606.ENSP00000000412	9606.ENSP00000252771
9606.ENSP00000011898	9606.ENSP00000257857
9606.ENSP00000081029	9606.ENSP00000253686
9606.ENSP00000201979	9606.ENSP00000228280
9606.ENSP00000215781	9606.ENSP00000223095
9606.ENSP00000003084	9606.ENSP00000256497
9606.ENSP00000240139	9606.ENSP00000242104
9606.ENSP00000199708	9606.ENSP00000252951
9606.ENSP00000011619	9606.ENSP00000222390
9606.ENSP00000261211	9606.ENSP00000259806
9606.ENSP00000216117	9606.ENSP00000239938
9606.ENSP00000254351	9606.ENSP00000017003
9606.ENSP00000229794	9606.ENSP00000221166
9606.ENSP00000225964	9606.ENSP00000258743
9606.ENSP00000261799	9606.ENSP00000225688
9606.ENSP00000211287	9606.ENSP00000232461
9606.ENSP00000054668	9606.ENSP00000217270
9606.ENSP00000007722	9606.ENSP00000258969
9606.ENSP00000232564	9606.ENSP00000262187
9606.ENSP00000078429	9606.ENSP00000256078
9606.ENSP00000217026	9606.ENSP00000252034
9606.ENSP00000220003	9606.ENSP00000231487
9606.ENSP00000215832	9606.ENSP00000228837
9606.ENSP00000205402	9606.ENSP00000219794
9606.ENSP00000157812	9606.ENSP00000257430
9606.ENSP00000215071	9606.ENSP00000230056
9606.ENSP00000184266	9606.ENSP00000215565
9606.ENSP00000000233	9606.ENSP00000261845
9606.ENSP00000209884	9606.ENSP00000222402
9606.ENSP00000215587	9606.ENSP00000216727
9606.ENSP00000007516	9606.ENSP00000252102
9606.ENSP00000219476	9606.ENSP00000256078
9606.ENSP00000228872	9606.ENSP00000253024
9606.ENSP00000170630	9606.ENSP00000231454
9606.ENSP00000003084	9606.ENSP00000233944
9606.ENSP00000229179	9606.ENSP00000245838
9606.ENSP00000005257	9606.ENSP00000257290
9606.ENSP00000046794	9606.ENSP00000233154
9606.ENSP00000221930	9606.ENSP00000244741
9606.ENSP00000260361	9606.ENSP00000007516
9606.ENSP00000219476	9606.ENSP00000245304
9606.ENSP00000215909	9606.ENSP00000230990
9606.ENSP00000244007	9606.ENSP00000215530
9606.ENSP00000248975	9606.ENSP00000237654
9606.ENSP00000238112	9606.ENSP00000209873
9606.ENSP00000044462	9606.ENSP00000228918
9606.ENSP00000256443	9606.ENSP00000260967
9606.ENSP00000222345	9606.ENSP00000216127
9606.ENSP00000083182	9606.ENSP00000255448
9606.ENSP00000156471	9606.ENSP00000225428
9606.ENSP00000261991	9606.ENSP00000256196
9606.ENSP00000228307	9606.ENSP00000007722
9606.ENSP00000215832	9606.ENSP00000217185
9606.ENSP00000229794	9606.ENSP00000246062
9606.ENSP00000211287	9606.ENSP00000262187
9606.ENSP00000156471	9606.ENSP00000247001
9606.ENSP00000231509	9606.ENSP00000236147
9606.ENSP00000230419	9606.ENSP00000256707
9606.ENSP00000244020	9606.ENSP00000161863
9606.ENSP00000234071	9606.ENSP00000216968
9606.ENSP00000261461	9606.ENSP00000226021
9606.ENSP00000255465	9606.ENSP00000227618
9606.ENSP00000254101	9606.ENSP00000256797
9606.ENSP00000238081	9606.ENSP00000220507
9606.ENSP00000261799	9606.ENSP00000175756
9606.ENSP00000223167	9606.ENSP00000261891
9606.ENSP00000253024	9606.ENSP00000196489
9606.ENSP00000250971	9606.ENSP00000262269
9606.ENSP00000257497	9606.ENSP00000054668
9606.ENSP00000232564	9606.ENSP00000258456
9606.ENSP00000053468	9606.ENSP00000253686
9606.ENSP00000232564	9606.ENSP00000216629
9606.ENSP00000211287	9606.ENSP00000257566
9606.ENSP00000005386	9606.ENSP00000262319
9606.ENSP00000248975	9606.ENSP00000256953
9606.ENSP00000235382	9606.ENSP00000260950
9606.ENSP00000231228	9606.ENSP00000242338
9606.ENSP00000254958	9606.ENSP00000222390
9606.ENSP00000164133	9606.ENSP00000216225
9606.ENSP00000228841	9606.ENSP00000261891
9606.ENSP00000053468	9606.ENSP00000216774
9606.ENSP00000226574	9606.ENSP00000237289
9606.ENSP00000248150	9606.ENSP00000254235
9606.ENSP00000215832	9606.ENSP00000005257
9606.ENSP00000242577	9606.ENSP00000025008
9606.ENSP00000156825	9606.ENSP00000216807
9606.ENSP00000231449	9606.ENSP00000227752
9606.ENSP00000226730	9606.ENSP00000216341
9606.ENSP00000232564	9606.ENSP00000014930
9606.ENSP00000078445	9606.ENSP00000222157
9606.ENSP00000215071	9606.ENSP00000255465
9606.ENSP00000231449	9606.ENSP00000254958
9606.ENSP00000238081	9606.ENSP00000262187
9606.ENSP00000226105	9606.ENSP00000261917
9606.ENSP00000228534	9606.ENSP00000225275
9606.ENSP00000215793	9606.ENSP00000225428
9606.ENSP00000226317	9606.ENSP00000245983
9606.ENSP00000230771	9606.ENSP00000254322
9606.ENSP00000215587	9606.ENSP00000216367
9606.ENSP00000232564	9606.ENSP00000256196
9606.ENSP00000228251	9606.ENSP00000227507
9606.ENSP00000040663	9606.ENSP00000262105
9606.ENSP00000005340	9606.ENSP00000262187
9606.ENSP00000261609	9606.ENSP00000229179
9606.ENSP00000251849	9606.ENSP00000250559
9606.ENSP00000242577	9606.ENSP00000194214
9606.ENSP00000013807	9606.ENSP00000215587
9606.ENSP00000216911	9606.ENSP00000219172
9606.ENSP00000210313	9606.ENSP00000257430
9606.ENSP00000158771	9606.ENSP00000257570
9606.ENSP00000216024	9606.ENSP00000256246
9606.ENSP00000007516	9606.ENSP00000215565
9606.ENSP00000211287	9606.ENSP00000245919
9606.ENSP00000229390	9606.ENSP00000161863
9606.ENSP00000040877	9606.ENSP00000220669
9606.ENSP00000044462	9606.ENSP00000262193
9606.ENSP00000053468	9606.ENSP00000259469
9606.ENSP00000211287	9606.ENSP00000243440
9606.ENSP00000005340	9606.ENSP00000220062
9606.ENSP00000240139	9606.ENSP00000230419
9606.ENSP00000224764	9606.ENSP00000247005
9606.ENSP00000010132	9606.ENSP00000054950
9606.ENSP00000215587	9606.ENSP00000262189
9606.ENSP00000221138	9606.ENSP00000261991
9606.ENSP00000211287	9606.ENSP00000261233
9606.ENSP00000070846	9606.ENSP00000231134
9606.ENSP00000255381	9606.ENSP00000160382
9606.ENSP00000224337	9606.ENSP00000227163
9606.ENSP00000053468	9606.ENSP00000202773
9606.ENSP00000223369	9606.ENSP00000259400
9606.ENSP00000215659	9606.ENSP00000217958
9606.ENSP00000212015	9606.ENSP00000244527
9606.ENSP00000156471	9606.ENSP00000233468
9606.ENSP00000218388	9606.ENSP00000168148
9606.ENSP00000259808	9606.ENSP00000262300
9606.ENSP00000226574	9606.ENSP00000227667
9606.ENSP00000232564	9606.ENSP00000220507
9606.ENSP00000246657	9606.ENSP00000225831
9606.ENSP00000219070	9606.ENSP00000226218
9606.ENSP00000232564	9606.ENSP00000226413
9606.ENSP00000013807	9606.ENSP00000251303
9606.ENSP00000241261	9606.ENSP00000221132
9606.ENSP00000225474	9606.ENSP00000225275
9606.ENSP00000238081	9606.ENSP00000249071
9606.ENSP00000040584	9606.ENSP00000226574
9606.ENSP00000055077	9606.ENSP00000250416
9606.ENSP00000246071	9606.ENSP00000052754
9606.ENSP00000212015	9606.ENSP00000221515
9606.ENSP00000019317	9606.ENSP00000220507
9606.ENSP00000014930	9606.ENSP00000245907
9606.ENSP00000222462	9606.ENSP00000180166
9606.ENSP00000207437	9606.ENSP00000237500
9606.ENSP00000262225	9606.ENSP00000256646
9606.ENSP00000171111	9606.ENSP00000261593
9606.ENSP00000260950	9606.ENSP00000221856
9606.ENSP00000221496	9606.ENSP00000257863
9606.ENSP00000207437	9606.ENSP00000217652
9606.ENSP00000229179	9606.ENSP00000238112
9606.ENSP00000259037	9606.ENSP00000184266
9606.ENSP00000078527	9606.ENSP00000248958
9606.ENSP00000011653	9606.ENSP00000244007
9606.ENSP00000232461	9606.ENSP00000232564
9606.ENSP00000215071	9606.ENSP00000262209
9606.ENSP00000055077	9606.ENSP00000221859
9606.ENSP00000229264	9606.ENSP00000251337
9606.ENSP00000225831	9606.ENSP00000261733
9606.ENSP00000229179	9606.ENSP00000262077
9606.ENSP00000256442	9606.ENSP00000231487
9606.ENSP00000171757	9606.ENSP00000255380
9606.ENSP00000014930	9606.ENSP00000257497
9606.ENSP00000078429	9606.ENSP00000232461
9606.ENSP00000250971	9606.ENSP00000005178
9606.ENSP00000255194	9606.ENSP00000201979
9606.ENSP00000261942	9606.ENSP00000158771
9606.ENSP00000262211	9606.ENSP00000245304
9606.ENSP00000229135	9606.ENSP00000177694
9606.ENSP00000250971	9606.ENSP00000229416
9606.ENSP00000229794	9606.ENSP00000248150
9606.ENSP00000202677	9606.ENSP00000241463
9606.ENSP00000217185	9606.ENSP00000224337
9606.ENSP00000000233	9606.ENSP00000253401
9606.ENSP00000078429	9606.ENSP00000249041
9606.ENSP00000228641	9606.ENSP00000250003
9606.ENSP00000212015	9606.ENSP00000244661
9606.ENSP00000220751	9606.ENSP00000227758
9606.ENSP00000248996	9606.ENSP00000225688
9606.ENSP00000215832	9606.ENSP00000234040
9606.ENSP00000210313	9606.ENSP00000261819
9606.ENSP00000256078	9606.ENSP00000262017
9606.ENSP00000216373	9606.ENSP00000250559
9606.ENSP00000078429	9606.ENSP00000216629
9606.ENSP00000216144	9606.ENSP00000261891
9606.ENSP00000157812	9606.ENSP00000229758
9606.ENSP00000156471	9606.ENSP00000222969
9606.ENSP00000216144	9606.ENSP00000053469
9606.ENSP00000005340	9606.ENSP00000247986
9606.ENSP00000229264	9606.ENSP00000260404
9606.ENSP00000259808	9606.ENSP00000220507
9606.ENSP00000172229	9606.ENSP00000225402
9606.ENSP00000215587	9606.ENSP00000254108
9606.ENSP00000229264	9606.ENSP00000238738
9606.ENSP00000251337	9606.ENSP00000259406
9606.ENSP00000225577	9606.ENSP00000225688
9606.ENSP00000044462	9606.ENSP00000257430
9606.ENSP00000231449	9606.ENSP00000248071
9606.ENSP00000012443	9606.ENSP00000245934
9606.ENSP00000222345	9606.ENSP00000225688
9606.ENSP00000211287	9606.ENSP00000075503
9606.ENSP00000225893	9606.ENSP00000260128
9606.ENSP00000248996	9606.ENSP00000261170
9606.ENSP00000227618	9606.ENSP00000258743
9606.ENSP00000005340	9606.ENSP00000234040
9606.ENSP00000251337	9606.ENSP00000176183
9606.ENSP00000219409	9606.ENSP00000256196
9606.ENSP00000238081	9606.ENSP00000250559
9606.ENSP00000222254	9606.ENSP00000166244
9606.ENSP00000225245	9606.ENSP00000239849
9606.ENSP00000231454	9606.ENSP00000227752
9606.ENSP00000261195	9606.ENSP00000171887
9606.ENSP00000261349	9606.ENSP00000254722
9606.ENSP00000222304	9606.ENSP00000217971
9606.ENSP00000232564	9606.ENSP00000258034
9606.ENSP00000221138	9606.ENSP00000223167
9606.ENSP00000228534	9606.ENSP00000226574
9606.ENSP00000215980	9606.ENSP00000242872
9606.ENSP00000229179	9606.ENSP00000245544
9606.ENSP00000221138	9606.ENSP00000245544
9606.ENSP00000228928	9606.ENSP00000166345
9606.ENSP00000251337	9606.ENSP00000201979
9606.ENSP00000256897	9606.ENSP00000260967
9606.ENSP00000225567	9606.ENSP00000054666
9606.ENSP00000260404	9606.ENSP00000216127
9606.ENSP00000215659	9606.ENSP00000216127
9606.ENSP00000156109	9606.ENSP00000254108
9606.ENSP00000005340	9606.ENSP00000217958
9606.ENSP00000078429	9606.ENSP00000220507
9606.ENSP00000226207	9606.ENSP00000211998
9606.ENSP00000212015	9606.ENSP00000229330
9606.ENSP00000261211	9606.ENSP00000222402
9606.ENSP00000225831	9606.ENSP00000216117
9606.ENSP00000240139	9606.ENSP00000226193
9606.ENSP00000216274	9606.ENSP00000256078
9606.ENSP00000221138	9606.ENSP00000234040
9606.ENSP00000225512	9606.ENSP00000261349
9606.ENSP00000156825	9606.ENSP00000080059
9606.ENSP00000218388	9606.ENSP00000242261
9606.ENSP00000229239	9606.ENSP00000215057
9606.ENSP00000211287	9606.ENSP00000261623
9606.ENSP00000248975	9606.ENSP00000246792
9606.ENSP00000261461	9606.ENSP00000229179
9606.ENSP00000256458	9606.ENSP00000262300
9606.ENSP00000225655	9606.ENSP00000160382
9606.ENSP00000226574	9606.ENSP00000221452
9606.ENSP00000262158	9606.ENSP00000200453
9606.ENSP00000196551	9606.ENSP00000258455
9606.ENSP00000261991	9606.ENSP00000155926
9606.ENSP00000211287	9606.ENSP00000228862
9606.ENSP00000221138	9606.ENSP00000242872
9606.ENSP00000160382	9606.ENSP00000219746
9606.ENSP00000229794	9606.ENSP00000262211
9606.ENSP00000259808	9606.ENSP00000257430
9606.ENSP00000211287	9606.ENSP00000056233
9606.ENSP00000259089	9606.ENSP00000257904
9606.ENSP00000217185	9606.ENSP00000249071
9606.ENSP00000248975	9606.ENSP00000225688
9606.ENSP00000052754	9606.ENSP00000243776
9606.ENSP00000005257	9606.ENSP00000216181
9606.ENSP00000255262	9606.ENSP00000171757
9606.ENSP00000078429	9606.ENSP00000232564
9606.ENSP00000078429	9606.ENSP00000248706
9606.ENSP00000019317	9606.ENSP00000225688
9606.ENSP00000011653	9606.ENSP00000229829
9606.ENSP00000219409	9606.ENSP00000256953
9606.ENSP00000222254	9606.ENSP00000256458
9606.ENSP00000261845	9606.ENSP00000247161
9606.ENSP00000221138	9606.ENSP00000166244
9606.ENSP00000228945	9606.ENSP00000256953
9606.ENSP00000156471	9606.ENSP00000249363
9606.ENSP00000156471	9606.ENSP00000261245
9606.ENSP00000013807	9606.ENSP00000220913
9606.ENSP00000000233	9606.ENSP00000245796
9606.ENSP00000202677	9606.ENSP00000220062
9606.ENSP00000216274	9606.ENSP00000262300
9606.ENSP00000007722	9606.ENSP00000225964
9606.ENSP00000005257	9606.ENSP00000259089
9606.ENSP00000216274	9606.ENSP00000257430
9606.ENSP00000203407	9606.ENSP00000258424
9606.ENSP00000231449	9606.ENSP00000219244
9606.ENSP00000258743	9606.ENSP00000230882
9606.ENSP00000156471	9606.ENSP00000256447
9606.ENSP00000157812	9606.ENSP00000247668
9606.ENSP00000200181	9606.ENSP00000261503
9606.ENSP00000261991	9606.ENSP00000254654
9606.ENSP00000254963	9606.ENSP00000171887
9606.ENSP00000261769	9606.ENSP00000221992
9606.ENSP00000234038	9606.ENSP00000202017
9606.ENSP00000237654	9606.ENSP00000261211
9606.ENSP00000204615	9606.ENSP00000244174
9606.ENSP00000229179	9606.ENSP00000251074
9606.ENSP00000224237	9606.ENSP00000199764
9606.ENSP00000215659	9606.ENSP00000254667
9606.ENSP00000157812	9606.ENSP00000216802
9606.ENSP00000253055	9606.ENSP00000224337
9606.ENSP00000232461	9606.ENSP00000259406
9606.ENSP00000249071	9606.ENSP00000203556
9606.ENSP00000215832	9606.ENSP00000216780
9606.ENSP00000215071	9606.ENSP00000227507
9606.ENSP00000260967	9606.ENSP00000222402
9606.ENSP00000229135	9606.ENSP00000225831
9606.ENSP00000262158	9606.ENSP00000171111
9606.ENSP00000016171	9606.ENSP00000261070
9606.ENSP00000229264	9606.ENSP00000262187
9606.ENSP00000256897	9606.ENSP00000257904
9606.ENSP00000224237	9606.ENSP00000261707
9606.ENSP00000176183	9606.ENSP00000240615
9606.ENSP00000247668	9606.ENSP00000216797
9606.ENSP00000180173	9606.ENSP00000221086
9606.ENSP00000215793	9606.ENSP00000215829
9606.ENSP00000259708	9606.ENSP00000256442
9606.ENSP00000244050	9606.ENSP00000242261
9606.ENSP00000222256	9606.ENSP00000260323
9606.ENSP00000199814	9606.ENSP00000229390
9606.ENSP00000078429	9606.ENSP00000245457
9606.ENSP00000258743	9606.ENSP00000216117
9606.ENSP00000075503	9606.ENSP00000241463
9606.ENSP00000222305	9606.ENSP00000223095
9606.ENSP00000156109	9606.ENSP00000244227
9606.ENSP00000229307	9606.ENSP00000229335
9606.ENSP00000008527	9606.ENSP00000254657
9606.ENSP00000219476	9606.ENSP00000201979
9606.ENSP00000258062	9606.ENSP00000005257
9606.ENSP00000012443	9606.ENSP00000241463
9606.ENSP00000003302	9606.ENSP00000260983
9606.ENSP00000199708	9606.ENSP00000251595
9606.ENSP00000080059	9606.ENSP00000258281
9606.ENSP00000231449	9606.ENSP00000004921
9606.ENSP00000232564	9606.ENSP00000256906
9606.ENSP00000244050	9606.ENSP00000219070
9606.ENSP00000219070	9606.ENSP00000226730
9606.ENSP00000244741	9606.ENSP00000216117
9606.ENSP00000237264	9606.ENSP00000162023
9606.ENSP00000170447	9606.ENSP00000256996
9606.ENSP00000215832	9606.ENSP00000078445
9606.ENSP00000229794	9606.ENSP00000259089
9606.ENSP00000166244	9606.ENSP00000248706
9606.ENSP00000259808	9606.ENSP00000224337
9606.ENSP00000244007	9606.ENSP00000234310
9606.ENSP00000215793	9606.ENSP00000246194
9606.ENSP00000219476	9606.ENSP00000225577
9606.ENSP00000215574	9606.ENSP00000251547
9606.ENSP00000215832	9606.ENSP00000262160
9606.ENSP00000228347	9606.ENSP00000156471
9606.ENSP00000222330	9606.ENSP00000256646
9606.ENSP00000228307	9606.ENSP00000220003
9606.ENSP00000216225	9606.ENSP00000244741
9606.ENSP00000160827	9606.ENSP00000257934
9606.ENSP00000170630	9606.ENSP00000259555
9606.ENSP00000250244	9606.ENSP00000009530
9606.ENSP00000178640	9606.ENSP00000259089
9606.ENSP00000000412	9606.ENSP00000243298
9606.ENSP00000212015	9606.ENSP00000254810
9606.ENSP00000221515	9606.ENSP00000223095
9606.ENSP00000157812	9606.ENSP00000261211
9606.ENSP00000229794	9606.ENSP00000261890
9606.ENSP00000211287	9606.ENSP00000234040
9606.ENSP00000156471	9606.ENSP00000260970
9606.ENSP00000194214	9606.ENSP00000242591
9606.ENSP00000075503	9606.ENSP00000246792
9606.ENSP00000233948	9606.ENSP00000240093
9606.ENSP00000261799	9606.ENSP00000244007
9606.ENSP00000233156	9606.ENSP00000218099
9606.ENSP00000229135	9606.ENSP00000258743
9606.ENSP00000229264	9606.ENSP00000245304
9606.ENSP00000247207	9606.ENSP00000160382
9606.ENSP00000218388	9606.ENSP00000260356
9606.ENSP00000262188	9606.ENSP00000220584
9606.ENSP00000216181	9606.ENSP00000160382
9606.ENSP00000161863	9606.ENSP00000261600
9606.ENSP00000215832	9606.ENSP00000231449
9606.ENSP00000225792	9606.ENSP00000229390
9606.ENSP00000232564	9606.ENSP00000258400
9606.ENSP00000014930	9606.ENSP00000242152
9606.ENSP00000007969	9606.ENSP00000225428
9606.ENSP00000222254	9606.ENSP00000219794
9606.ENSP00000215659	9606.ENSP00000248600
9606.ENSP00000262138	9606.ENSP00000261475
9606.ENSP00000216122	9606.ENSP00000260967
9606.ENSP00000223366	9606.ENSP00000209873
9606.ENSP00000226730	9606.ENSP00000253680
9606.ENSP00000261845	9606.ENSP00000075503
9606.ENSP00000157812	9606.ENSP00000227618
9606.ENSP00000261303	9606.ENSP00000215941
9606.ENSP00000261537	9606.ENSP00000252891
9606.ENSP00000222254	9606.ENSP00000075503
9606.ENSP00000007969	9606.ENSP00000221232
9606.ENSP00000262160	9606.ENSP00000256759
9606.ENSP00000215832	9606.ENSP00000225538
9606.ENSP00000222345	9606.ENSP00000220507
9606.ENSP00000262160	9606.ENSP00000241416
9606.ENSP00000215659	9606.ENSP00000239223
9606.ENSP00000227758	9606.ENSP00000221740
9606.ENSP00000240343	9606.ENSP00000194214
9606.ENSP00000231228	9606.ENSP00000252486
9606.ENSP00000232564	9606.ENSP00000217270
9606.ENSP00000228945	9606.ENSP00000229002
9606.ENSP00000052754	9606.ENSP00000260227
9606.ENSP00000249923	9606.ENSP00000005257
9606.ENSP00000053469	9606.ENSP00000261047
9606.ENSP00000044462	9606.ENSP00000228928
9606.ENSP00000216629	9606.ENSP00000171757
9606.ENSP00000232564	9606.ENSP00000261170
9606.ENSP00000005340	9606.ENSP00000256682
9606.ENSP00000260404	9606.ENSP00000239223
9606.ENSP00000012443	9606.ENSP00000258930
9606.ENSP00000003302	9606.ENSP00000257570
9606.ENSP00000160827	9606.ENSP00000233121
9606.ENSP00000200135	9606.ENSP00000251074
9606.ENSP00000260010	9606.ENSP00000258743
9606.ENSP00000232564	9606.ENSP00000243457
9606.ENSP00000007969	9606.ENSP00000244520
9606.ENSP00000230449	9606.ENSP00000249071
9606.ENSP00000228945	9606.ENSP00000246792
9606.ENSP00000055077	9606.ENSP00000164227
9606.ENSP00000225577	9606.ENSP00000226247
9606.ENSP00000234310	9606.ENSP00000228862
9606.ENSP00000261845	9606.ENSP00000226004
9606.ENSP00000220003	9606.ENSP00000262017
9606.ENSP00000003084	9606.ENSP00000222812
9606.ENSP00000166244	9606.ENSP00000215368
9606.ENSP00000010132	9606.ENSP00000219789
9606.ENSP00000215829	9606.ENSP00000260970
9606.ENSP00000215659	9606.ENSP00000256682
9606.ENSP00000238081	9606.ENSP00000216127
9606.ENSP00000226730	9606.ENSP00000170630
9606.ENSP00000000412	9606.ENSP00000253083
9606.ENSP00000007969	9606.ENSP00000251413
9606.ENSP00000238682	9606.ENSP00000242208
9606.ENSP00000012443	9606.ENSP00000237654
9606.ENSP00000229794	9606.ENSP00000230354
9606.ENSP00000176183	9606.ENSP00000225992
9606.ENSP00000254695	9606.ENSP00000238738
9606.ENSP00000215832	9606.ENSP00000230990
9606.ENSP00000257904	9606.ENSP00000250003
9606.ENSP00000020673	9606.ENSP00000216101
9606.ENSP00000075503	9606.ENSP00000250559
9606.ENSP00000240874	9606.ENSP00000201979
9606.ENSP00000257290	9606.ENSP00000231487
9606.ENSP00000232461	9606.ENSP00000218006
9606.ENSP00000078429	9606.ENSP00000229264
9606.ENSP00000231449	9606.ENSP00000164227
9606.ENSP00000014930	9606.ENSP00000257068
9606.ENSP00000234310	9606.ENSP00000241261
9606.ENSP00000199814	9606.ENSP00000247001
9606.ENSP00000222157	9606.ENSP00000226279
9606.ENSP00000215832	9606.ENSP00000221930
9606.ENSP00000168977	9606.ENSP00000249842
9606.ENSP00000054668	9606.ENSP00000256857
9606.ENSP00000221138	9606.ENSP00000226574
9606.ENSP00000248975	9606.ENSP00000262187
9606.ENSP00000156109	9606.ENSP00000218224
9606.ENSP00000250971	9606.ENSP00000230036
9606.ENSP00000003084	9606.ENSP00000219313
9606.ENSP00000239347	9606.ENSP00000230882
9606.ENSP00000202967	9606.ENSP00000229330
9606.ENSP00000229264	9606.ENSP00000218721
9606.ENSP00000227507	9606.ENSP00000250448
9606.ENSP00000162749	9606.ENSP00000225831
9606.ENSP00000075503	9606.ENSP00000220507
9606.ENSP00000215832	9606.ENSP00000251849
9606.ENSP00000012443	9606.ENSP00000229794
9606.ENSP00000226574	9606.ENSP00000225831
9606.ENSP00000163416	9606.ENSP00000261483
9606.ENSP00000250971	9606.ENSP00000242208
9606.ENSP00000259089	9606.ENSP00000254667
9606.ENSP00000257570	9606.ENSP00000196551
9606.ENSP00000225577	9606.ENSP00000217233
9606.ENSP00000157812	9606.ENSP00000254835
9606.ENSP00000006275	9606.ENSP00000257017
9606.ENSP00000237654	9606.ENSP00000209728
9606.ENSP00000217652	9606.ENSP00000222125
9606.ENSP00000156471	9606.ENSP00000241436
9606.ENSP00000168977	9606.ENSP00000237283
9606.ENSP00000220507	9606.ENSP00000011684
9606.ENSP00000256658	9606.ENSP00000201979
9606.ENSP00000164227	9606.ENSP00000216267
9606.ENSP00000215793	9606.ENSP00000161863
9606.ENSP00000223369	9606.ENSP00000163416
9606.ENSP00000215659	9606.ENSP00000257566
9606.ENSP00000260356	9606.ENSP00000243077
9606.ENSP00000219255	9606.ENSP00000220062
9606.ENSP00000232461	9606.ENSP00000206262
9606.ENSP00000228945	9606.ENSP00000238738
9606.ENSP00000219476	9606.ENSP00000229002
9606.ENSP00000054668	9606.ENSP00000246553
9606.ENSP00000220003	9606.ENSP00000220507
9606.ENSP00000253055	9606.ENSP00000229002
9606.ENSP00000215832	9606.ENSP00000262187
9606.ENSP00000244741	9606.ENSP00000233630
9606.ENSP00000262211	9606.ENSP00000216101
9606.ENSP00000260356	9606.ENSP00000224237
9606.ENSP00000005340	9606.ENSP00000201979
9606.ENSP00000248975	9606.ENSP00000261313
9606.ENSP00000244007	9606.ENSP00000180166
9606.ENSP00000196551	9606.ENSP00000254630
9606.ENSP00000260947	9606.ENSP00000257904
9606.ENSP00000181839	9606.ENSP00000247470
9606.ENSP00000215832	9606.ENSP00000261254
9606.ENSP00000222330	9606.ENSP00000246069
