>/home/user1/code/PPIKG/method/AFTGAN/data/SYS30k.seqs.tsv
>/home/user1/code/PPIKG/method/AFTGAN/data/SYS30k.txt
4932.YDR404C	4932.YMR290C
4932.YNL090W	4932.YOL065C
4932.YBL111C	4932.YLR077W
4932.YER045C	4932.YPL256C
4932.YBR088C	4932.YJR068W
4932.YHR065C	4932.YHR081W
4932.YLL024C	4932.YLR086W
4932.YAL005C	4932.YNL020C
4932.YHR143W-A	4932.YPR190C
4932.YML025C	4932.YOL040C
4932.YHR184W	4932.YLR127C
4932.YDR247W	4932.YOR003W
4932.YLR344W	4932.YMR125W
4932.YDR318W	4932.YPR046W
4932.YCL024W	4932.YJL030W
4932.YFL018C	4932.YOR090C
4932.YLL066C	4932.YOL139C
4932.YCL017C	4932.YPL135W
4932.YDL236W	4932.YIL142W
4932.YDL202W	4932.YLR333C
4932.YGR133W	4932.YOL133W
4932.YGR002C	4932.YLR385C
4932.YDR311W	4932.YML078W
4932.YLL039C	4932.YOR076C
4932.YJR094W-A	4932.YOR063W
4932.YNR036C	4932.YPL143W
4932.YGL158W	4932.YNR032W
4932.YGL031C	4932.YPL081W
4932.YGR090W	4932.YKL172W
4932.YHR199C-A	4932.YPL209C
4932.YNL250W	4932.YPL022W
4932.YDL075W	4932.YLR333C
4932.YOL062C	4932.YOL065C
4932.YAL040C	4932.YAR073W
4932.YGL190C	4932.YNL030W
4932.YDR054C	4932.YML081W
4932.YMR072W	4932.YOR351C
4932.YNL096C	4932.YNL185C
4932.YFL066C	4932.YNL178W
4932.YER051W	4932.YKL059C
4932.YGR078C	4932.YML094W
4932.YDR453C	4932.YIL005W
4932.YFL034C-A	4932.YLR367W
4932.YFL009W	4932.YJL112W
4932.YDR235W	4932.YPR013C
4932.YDR378C	4932.YLR298C
4932.YDL083C	4932.YOL111C
4932.YGR085C	4932.YOR096W
4932.YHR021C	4932.YML063W
4932.YBR198C	4932.YNL097C
4932.YDL209C	4932.YOR396W
4932.YGR148C	4932.YJL136C
4932.YJL189W	4932.YOR234C
4932.YKL168C	4932.YNL312W
4932.YBR195C	4932.YOR244W
4932.YBR164C	4932.YDL079C
4932.YIL103W	4932.YKL173W
4932.YHR129C	4932.YNR023W
4932.YDR517W	4932.YLR113W
4932.YBR066C	4932.YBR081C
4932.YGL189C	4932.YOR056C
4932.YBR181C	4932.YDR139C
4932.YHR166C	4932.YPR093C
4932.YGR271W	4932.YKR099W
4932.YBR079C	4932.YHR186C
4932.YGR082W	4932.YNL055C
4932.YER029C	4932.YGR091W
4932.YDR116C	4932.YDR447C
4932.YDR054C	4932.YLR131C
4932.YDR432W	4932.YJL138C
4932.YDR059C	4932.YPL003W
4932.YBR154C	4932.YPR187W
4932.YDR059C	4932.YGR052W
4932.YDL060W	4932.YNL308C
4932.YBR180W	4932.YKL126W
4932.YDL155W	4932.YLR272C
4932.YDL101C	4932.YIL126W
4932.YMR158W	4932.YPL198W
4932.YBL052C	4932.YHR207C
4932.YER130C	4932.YFR038W
4932.YGL210W	4932.YKR014C
4932.YDR390C	4932.YOL111C
4932.YBL037W	4932.YEL069C
4932.YGL097W	4932.YPL150W
4932.YCR045C	4932.YPR035W
4932.YBR119W	4932.YDL084W
4932.YER165W	4932.YGR034W
4932.YER102W	4932.YLR167W
4932.YDL100C	4932.YPL094C
4932.YKL112W	4932.YML095C
4932.YJL033W	4932.YNL307C
4932.YGR232W	4932.YML065W
4932.YCR031C	4932.YLR378C
4932.YBL072C	4932.YOL039W
4932.YBR282W	4932.YLR344W
4932.YDL202W	4932.YPL131W
4932.YBR066C	4932.YDL029W
4932.YER102W	4932.YOR198C
4932.YER125W	4932.YLR167W
4932.YLL036C	4932.YMR288W
4932.YOL083W	4932.YOR353C
4932.YDR099W	4932.YHL007C
4932.YIL074C	4932.YPR022C
4932.YKR084C	4932.YOL127W
4932.YEL026W	4932.YLR424W
4932.YDR025W	4932.YNL081C
4932.YBR112C	4932.YOR061W
4932.YDR247W	4932.YNL238W
4932.YBR109C	4932.YOR233W
4932.YLL011W	4932.YOR310C
4932.YBL087C	4932.YDL130W
4932.YOL127W	4932.YPL198W
4932.YGR109C	4932.YJR035W
4932.YGL209W	4932.YNL307C
4932.YGL242C	4932.YML059C
4932.YDR473C	4932.YKL073W
4932.YDR253C	4932.YPL116W
4932.YJL140W	4932.YOR319W
4932.YDR099W	4932.YOR037W
4932.YJL207C	4932.YNL088W
4932.YGR027C	4932.YMR080C
4932.YDR139C	4932.YKL198C
4932.YER176W	4932.YPR187W
4932.YDR523C	4932.YKL171W
4932.YDR146C	4932.YGL194C
4932.YJR036C	4932.YKR001C
4932.YBR164C	4932.YML081W
4932.YLR179C	4932.YPR100W
4932.YBR251W	4932.YIL148W
4932.YBR169C	4932.YPL240C
4932.YHR082C	4932.YOR267C
4932.YML015C	4932.YOL005C
4932.YGL070C	4932.YPR086W
4932.YGR123C	4932.YPR015C
4932.YDL116W	4932.YGL097W
4932.YGR234W	4932.YGR255C
4932.YIL118W	4932.YJL005W
4932.YDR059C	4932.YER173W
4932.YDR311W	4932.YGL043W
4932.YER131W	4932.YPR080W
4932.YNL180C	4932.YOR370C
4932.YGL129C	4932.YPR132W
4932.YHR124W	4932.YJR094C
4932.YCL004W	4932.YHR030C
4932.YHR129C	4932.YNL093W
4932.YCR063W	4932.YDL043C
4932.YDL147W	4932.YLL039C
4932.YJR035W	4932.YPR178W
4932.YER177W	4932.YFR028C
4932.YAL005C	4932.YPR165W
4932.YGL116W	4932.YIL144W
4932.YIL034C	4932.YMR219W
4932.YFL021W	4932.YGL254W
4932.YBL072C	4932.YNR037C
4932.YDL134C	4932.YGR233C
4932.YJR082C	4932.YKR008W
4932.YBL023C	4932.YJL074C
4932.YGL209W	4932.YLR210W
4932.YGR233C	4932.YKR090W
4932.YHR004C	4932.YJR063W
4932.YDR264C	4932.YLR442C
4932.YBR087W	4932.YNL273W
4932.YBR010W	4932.YBR279W
4932.YCR084C	4932.YKL062W
4932.YDR389W	4932.YNL098C
4932.YDR137W	4932.YLR039C
4932.YDR392W	4932.YKR029C
4932.YJL165C	4932.YJL194W
4932.YNL252C	4932.YPR100W
4932.YGR118W	4932.YML025C
4932.YBL021C	4932.YJL194W
4932.YBL038W	4932.YNL284C
4932.YDR301W	4932.YIR009W
4932.YJR068W	4932.YPR066W
4932.YHL015W	4932.YNL067W
4932.YGR034W	4932.YLR448W
4932.YGR085C	4932.YLR287C-A
4932.YGR085C	4932.YJL138C
4932.YGR123C	4932.YOR353C
4932.YFR041C	4932.YPL106C
4932.YDR001C	4932.YDR381W
4932.YER063W	4932.YKR048C
4932.YML026C	4932.YPL013C
4932.YLR348C	4932.YPR166C
4932.YHR030C	4932.YPL110C
4932.YAL017W	4932.YJL052W
4932.YDR253C	4932.YLR357W
4932.YCL024W	4932.YPL116W
4932.YER009W	4932.YIL063C
4932.YJL177W	4932.YKR084C
4932.YBR118W	4932.YMR143W
4932.YBR133C	4932.YPR120C
4932.YKL198C	4932.YOL100W
4932.YDL132W	4932.YER130C
4932.YJL005W	4932.YLR298C
4932.YGR003W	4932.YJR127C
4932.YLR005W	4932.YPR178W
4932.YNL048W	4932.YPL150W
4932.YOL162W	4932.YPL116W
4932.YEL037C	4932.YLR268W
4932.YLR182W	4932.YMR001C
4932.YNL027W	4932.YNL154C
4932.YJL177W	4932.YMR302C
4932.YLR138W	4932.YPL026C
4932.YDR002W	4932.YDR510W
4932.YEL037C	4932.YPL074W
4932.YBR136W	4932.YCL068C
4932.YDR253C	4932.YLR240W
4932.YLR048W	4932.YOL023W
4932.YDR270W	4932.YNL307C
4932.YGR058W	4932.YPR154W
4932.YDR405W	4932.YNL185C
4932.YHR148W	4932.YLR069C
4932.YGR284C	4932.YLR268W
4932.YKL062W	4932.YKL203C
4932.YKL139W	4932.YPL031C
4932.YER179W	4932.YJR066W
4932.YBR039W	4932.YPL271W
4932.YDR337W	4932.YFR032C-A
4932.YHL001W	4932.YKL170W
4932.YJR040W	4932.YMR199W
4932.YLR240W	4932.YNL217W
4932.YBR082C	4932.YDR386W
4932.YHR007C	4932.YNL068C
4932.YJL110C	4932.YPL089C
4932.YDR025W	4932.YGR090W
4932.YKL006W	4932.YPR166C
4932.YHL004W	4932.YJR113C
4932.YDR212W	4932.YJL073W
4932.YDL191W	4932.YGL031C
4932.YMR158W	4932.YNL185C
4932.YER165W	4932.YGL031C
4932.YML117W	4932.YMR128W
4932.YOL005C	4932.YPL063W
4932.YDL108W	4932.YOR207C
4932.YLR375W	4932.YPR119W
4932.YDR337W	4932.YNL081C
4932.YKL210W	4932.YKR094C
4932.YGL049C	4932.YLR075W
4932.YHR158C	4932.YLR229C
4932.YDL048C	4932.YML126C
4932.YDR316W-A	4932.YPL257W-A
4932.YLR430W	4932.YNR011C
4932.YNL284C	4932.YOR187W
4932.YMR161W	4932.YOL128C
4932.YGR085C	4932.YNL178W
4932.YGL254W	4932.YMR033W
4932.YHR218W	4932.YLR344W
4932.YJL138C	4932.YKL074C
4932.YBR143C	4932.YOL121C
4932.YDL155W	4932.YLL039C
4932.YFL026W	4932.YHR005C
4932.YMR288W	4932.YOL041C
4932.YDR545W	4932.YMR276W
4932.YAL029C	4932.YGL254W
4932.YKL092C	4932.YPL230W
4932.YIL050W	4932.YNL289W
4932.YDR099W	4932.YGR232W
4932.YDR418W	4932.YHL033C
4932.YJL005W	4932.YPR141C
4932.YLR017W	4932.YNL007C
4932.YLL067C	4932.YOR259C
4932.YAL034C	4932.YDR167W
4932.YCL024W	4932.YHR076W
4932.YJL005W	4932.YOR351C
4932.YML024W	4932.YML073C
4932.YGL097W	4932.YNL217W
4932.YDR328C	4932.YHR171W
4932.YBL038W	4932.YMR286W
4932.YER013W	4932.YHR169W
4932.YHL033C	4932.YKL212W
4932.YEL054C	4932.YGL123W
4932.YGR148C	4932.YGR214W
4932.YBR160W	4932.YOR208W
4932.YLR304C	4932.YNR001C
4932.YBR079C	4932.YER190W
4932.YDR450W	4932.YGL135W
4932.YLR029C	4932.YOR167C
4932.YGR278W	4932.YJL225C
4932.YHR141C	4932.YLR367W
4932.YER054C	4932.YGL065C
4932.YNL217W	4932.YNR012W
4932.YEL061C	4932.YGR188C
4932.YBR081C	4932.YHR099W
4932.YEL026W	4932.YML063W
4932.YPL216W	4932.YPL270W
4932.YLR029C	4932.YLR185W
4932.YJR036C	4932.YLR097C
4932.YAL016W	4932.YER177W
4932.YAL019W	4932.YLR375W
4932.YHR147C	4932.YLR185W
4932.YBL040C	4932.YIL118W
4932.YGL209W	4932.YPR086W
4932.YDL202W	4932.YGL031C
4932.YEL030W	4932.YPL150W
4932.YLR167W	4932.YNR006W
4932.YLR325C	4932.YNL137C
4932.YBR201W	4932.YPL074W
4932.YER020W	4932.YOR113W
4932.YGL078C	4932.YLR167W
4932.YGL035C	4932.YOL128C
4932.YHL027W	4932.YLR167W
4932.YNL217W	4932.YPR054W
4932.YER112W	4932.YML049C
4932.YMR143W	4932.YNL067W
4932.YDR447C	4932.YPR132W
4932.YER074W	4932.YKR094C
4932.YDL188C	4932.YHL027W
4932.YNL177C	4932.YOL023W
4932.YGL060W	4932.YKL052C
4932.YBL056W	4932.YMR068W
4932.YIL005W	4932.YIR037W
4932.YBR146W	4932.YJL177W
4932.YML024W	4932.YOR063W
4932.YDL070W	4932.YMR068W
4932.YFR023W	4932.YJR007W
4932.YDR261W-A	4932.YMR051C
4932.YBR136W	4932.YLR206W
4932.YDL161W	4932.YNL084C
4932.YBR010W	4932.YPL209C
4932.YBL087C	4932.YDR064W
4932.YDR079C-A	4932.YER171W
4932.YER107C	4932.YGR119C
4932.YHL007C	4932.YPL026C
4932.YBR088C	4932.YPL230W
4932.YCL024W	4932.YLL001W
4932.YLR043C	4932.YPL156C
4932.YMR055C	4932.YPR165W
4932.YDL130W	4932.YDR139C
4932.YKL196C	4932.YLR078C
4932.YFL066C	4932.YNR011C
4932.YHR147C	4932.YIL052C
4932.YGR152C	4932.YLR305C
4932.YBL037W	4932.YGL030W
4932.YCR031C	4932.YOL111C
4932.YBR186W	4932.YJR068W
4932.YBR065C	4932.YPL151C
4932.YDR054C	4932.YIR001C
4932.YGR271W	4932.YJR022W
4932.YGL190C	4932.YPR080W
4932.YNL185C	4932.YPR102C
4932.YER056C-A	4932.YLR061W
4932.YGR070W	4932.YGR261C
4932.YNL162W	4932.YPR132W
4932.YLR167W	4932.YLR216C
4932.YLR157C-A	4932.YPR158C-C
4932.YBR160W	4932.YDL132W
4932.YEL077C	4932.YPL184C
4932.YDL208W	4932.YMR230W
4932.YNL209W	4932.YPR110C
4932.YNL182C	4932.YPL116W
4932.YKL197C	4932.YLR093C
4932.YDR471W	4932.YPL249C-A
4932.YML133C	4932.YMR128W
4932.YGR052W	4932.YLR422W
4932.YLR058C	4932.YMR189W
4932.YDR545W	4932.YFR031C-A
4932.YIL021W	4932.YPL046C
4932.YGR260W	4932.YPL089C
4932.YAL007C	4932.YOR233W
4932.YDL151C	4932.YGR250C
4932.YGL129C	4932.YOR063W
4932.YDL202W	4932.YMR276W
4932.YDL064W	4932.YDR092W
4932.YCR091W	4932.YKL166C
4932.YHR218W	4932.YLR116W
4932.YEL030W	4932.YKL171W
4932.YDR200C	4932.YOL111C
4932.YFL034C-A	4932.YNL301C
4932.YDL140C	4932.YLL067C
4932.YDR172W	4932.YNL301C
4932.YDR116C	4932.YML073C
4932.YFL021W	4932.YLR214W
4932.YAL017W	4932.YHR135C
4932.YER013W	4932.YJR042W
4932.YGL030W	4932.YMR158W
4932.YHR064C	4932.YJR032W
4932.YNL178W	4932.YPR132W
4932.YER031C	4932.YOL152W
4932.YER094C	4932.YOR117W
4932.YDR373W	4932.YDR477W
4932.YJL189W	4932.YLL039C
4932.YPL216W	4932.YPR086W
4932.YKL073W	4932.YNL090W
4932.YGR233C	4932.YPR186C
4932.YLR113W	4932.YOL041C
4932.YFL029C	4932.YMR213W
4932.YKL190W	4932.YMR291W
4932.YER111C	4932.YOR144C
4932.YGR044C	4932.YOL145C
4932.YCL024W	4932.YCR011C
4932.YER174C	4932.YPL028W
4932.YCR065W	4932.YML042W
4932.YER126C	4932.YNL096C
4932.YGR052W	4932.YLR077W
4932.YGL103W	4932.YML009C
4932.YBL105C	4932.YJL005W
4932.YGR158C	4932.YOL021C
4932.YGL058W	4932.YPL141C
4932.YLR131C	4932.YMR139W
4932.YBR245C	4932.YOR244W
4932.YML063W	4932.YMR309C
4932.YJL115W	4932.YMR110C
4932.YGR203W	4932.YMR068W
4932.YLR005W	4932.YMR277W
4932.YLR369W	4932.YOR207C
4932.YGR048W	4932.YML029W
4932.YGR260W	4932.YMR104C
4932.YKL166C	4932.YLR182W
4932.YGL189C	4932.YOR063W
4932.YGR091W	4932.YPL184C
4932.YHR042W	4932.YKR071C
4932.YBR087W	4932.YLR107W
4932.YDR247W	4932.YKL062W
4932.YFR053C	4932.YOR081C
4932.YFR038W	4932.YNL027W
4932.YBR160W	4932.YOL012C
4932.YDR436W	4932.YOR014W
4932.YBR119W	4932.YKL193C
4932.YOL040C	4932.YOR261C
4932.YDL137W	4932.YGR155W
4932.YGR148C	4932.YNL081C
4932.YLR167W	4932.YOR096W
4932.YHR079C	4932.YMR008C
4932.YGR044C	4932.YIL036W
4932.YLR075W	4932.YLR406C
4932.YBR028C	4932.YOR101W
4932.YER069W	4932.YMR062C
4932.YHR021C	4932.YMR286W
4932.YDL075W	4932.YGR162W
4932.YDR206W	4932.YLR318W
4932.YGL147C	4932.YNL112W
4932.YLR406C	4932.YNR037C
4932.YDR253C	4932.YOR101W
4932.YGL049C	4932.YML026C
4932.YDR026C	4932.YDR378C
4932.YFR028C	4932.YNL167C
4932.YAR019C	4932.YDL137W
4932.YER095W	4932.YGL251C
4932.YDR026C	4932.YNL167C
4932.YGR203W	4932.YMR001C
4932.YEL037C	4932.YNR006W
4932.YGR119C	4932.YKR082W
4932.YHR148W	4932.YNL302C
4932.YHR048W	4932.YPL232W
4932.YBR028C	4932.YOR090C
4932.YDL240W	4932.YJL132W
4932.YBL105C	4932.YOR351C
4932.YBR087W	4932.YOL094C
4932.YCR031C	4932.YDR237W
4932.YBL027W	4932.YBR118W
4932.YAL017W	4932.YHR186C
4932.YCR084C	4932.YPL021W
4932.YDL082W	4932.YPL079W
4932.YIL002C	4932.YNL093W
4932.YBR010W	4932.YOL054W
4932.YDR337W	4932.YHR010W
4932.YBR208C	4932.YPR186C
4932.YBR182C	4932.YJL056C
4932.YBL037W	4932.YBR179C
4932.YFR005C	4932.YKR086W
4932.YDR156W	4932.YJR063W
4932.YDR096W	4932.YDR502C
4932.YIL046W	4932.YLL039C
4932.YER130C	4932.YGR232W
4932.YJR066W	4932.YLR449W
4932.YLR009W	4932.YML024W
4932.YGR108W	4932.YNR032W
4932.YER174C	4932.YMR323W
4932.YDR432W	4932.YJR050W
4932.YJL092W	4932.YNL339C
4932.YDL155W	4932.YFR028C
4932.YAL016W	4932.YOR107W
4932.YAL017W	4932.YPR165W
4932.YER018C	4932.YPL016W
4932.YLR147C	4932.YNL112W
4932.YDR041W	4932.YGL123W
4932.YJR123W	4932.YLL008W
4932.YDR337W	4932.YER038C
4932.YER027C	4932.YPL150W
4932.YDR385W	4932.YGR192C
4932.YBR254C	4932.YNL049C
4932.YGR233C	4932.YHR023W
4932.YER045C	4932.YNL304W
4932.YDR216W	4932.YML027W
4932.YHR010W	4932.YLL039C
4932.YFL029C	4932.YOR026W
4932.YCR051W	4932.YHR128W
4932.YDR122W	4932.YHR079C
4932.YLR340W	4932.YOL040C
4932.YDL075W	4932.YLR264W
4932.YDL202W	4932.YDR237W
4932.YER103W	4932.YOL032W
4932.YBL075C	4932.YDL051W
4932.YKL085W	4932.YLR357W
4932.YGL147C	4932.YOL111C
4932.YBR136W	4932.YNL090W
4932.YDL008W	4932.YIL046W
4932.YGR056W	4932.YMR033W
4932.YML026C	4932.YMR194W
4932.YDL064W	4932.YGR133W
4932.YNL069C	4932.YPR166C
4932.YBR059C	4932.YJL024C
4932.YHR143W-A	4932.YOR159C
4932.YGL158W	4932.YLR248W
4932.YAL017W	4932.YGR070W
4932.YBR087W	4932.YBR088C
4932.YGL019W	4932.YHR128W
4932.YJL164C	4932.YOR233W
4932.YLR371W	4932.YPL026C
4932.YDL070W	4932.YDR043C
4932.YCR051W	4932.YDR059C
4932.YGR027C	4932.YMR146C
4932.YEL061C	4932.YOR026W
4932.YGR027C	4932.YIL018W
4932.YDR043C	4932.YDR510W
4932.YIL148W	4932.YPR102C
4932.YLL008W	4932.YLR406C
4932.YBL003C	4932.YNL330C
4932.YKL114C	4932.YML080W
4932.YDR025W	4932.YJR123W
4932.YMR224C	4932.YPL256C
4932.YBR049C	4932.YLR375W
4932.YDR490C	4932.YPL004C
4932.YCR071C	4932.YIL018W
4932.YGR056W	4932.YMR236W
4932.YBR066C	4932.YOR236W
4932.YDR264C	4932.YER045C
4932.YBR118W	4932.YGR211W
4932.YGR148C	4932.YLR167W
4932.YDR194C	4932.YJL034W
4932.YDL055C	4932.YJL034W
4932.YJL140W	4932.YPL122C
4932.YJL034W	4932.YPR165W
4932.YBR009C	4932.YER151C
4932.YLR357W	4932.YPL016W
4932.YER103W	4932.YGR296W
4932.YKL129C	4932.YPR034W
4932.YIL131C	4932.YLR210W
4932.YKL032C	4932.YOR341W
4932.YBR136W	4932.YGL254W
4932.YPL031C	4932.YPL237W
4932.YGL141W	4932.YPL141C
4932.YBR136W	4932.YJR068W
4932.YKL113C	4932.YOR330C
4932.YNL090W	4932.YOL101C
4932.YGR108W	4932.YIL144W
4932.YLL039C	4932.YNL128W
4932.YDR043C	4932.YKL198C
4932.YLR131C	4932.YMR136W
4932.YGL254W	4932.YGR218W
4932.YHR064C	4932.YJL074C
4932.YGR092W	4932.YJR127C
4932.YBR049C	4932.YDL229W
4932.YDR183W	4932.YOR393W
4932.YDL029W	4932.YNL027W
4932.YDR238C	4932.YGR070W
4932.YBR031W	4932.YOR182C
4932.YDL155W	4932.YLR375W
4932.YDR028C	4932.YER133W
4932.YDR416W	4932.YPL064C
4932.YBL052C	4932.YDR004W
4932.YJR113C	4932.YPR041W
4932.YBR136W	4932.YER173W
4932.YDR545W	4932.YEL055C
4932.YBR160W	4932.YGR258C
4932.YLR206W	4932.YMR139W
4932.YKR001C	4932.YOR109W
4932.YHL027W	4932.YJL112W
4932.YMR186W	4932.YOR197W
4932.YBR136W	4932.YGR044C
4932.YGL048C	4932.YPR204W
4932.YDR122W	4932.YKL171W
4932.YGL061C	4932.YJR112W
4932.YGL078C	4932.YHR086W
4932.YBR082C	4932.YCR051W
4932.YHL015W	4932.YPR080W
4932.YER174C	4932.YML125C
4932.YER028C	4932.YIL126W
4932.YHR119W	4932.YNL030W
4932.YBR241C	4932.YJR066W
4932.YBL092W	4932.YMR276W
4932.YDR524C	4932.YHR099W
4932.YLR185W	4932.YPL001W
4932.YIR039C	4932.YLR120C
4932.YGR052W	4932.YKR055W
4932.YHL027W	4932.YOR101W
4932.YHR147C	4932.YNL185C
4932.YGR003W	4932.YLR182W
4932.YOR233W	4932.YOR351C
4932.YML059C	4932.YMR161W
4932.YHL015W	4932.YPL249C-A
4932.YBR048W	4932.YGL147C
4932.YDL102W	4932.YDL164C
4932.YGL115W	4932.YJR059W
4932.YKR001C	4932.YPL026C
4932.YER166W	4932.YLL050C
4932.YBR048W	4932.YLR448W
4932.YAL011W	4932.YER092W
4932.YKL173W	4932.YMR213W
4932.YBR114W	4932.YNL021W
4932.YML009C	4932.YNL122C
4932.YFR032C-A	4932.YHR077C
4932.YJL127C	4932.YPL028W
4932.YDR163W	4932.YML078W
4932.YER111C	4932.YML027W
4932.YDR419W	4932.YER041W
4932.YDL188C	4932.YPR186C
4932.YDR145W	4932.YER148W
4932.YGL031C	4932.YMR080C
4932.YMR291W	4932.YNL217W
4932.YIL126W	4932.YKL171W
4932.YDR510W	4932.YML049C
4932.YGL035C	4932.YPL256C
4932.YCR052W	4932.YDR174W
4932.YER126C	4932.YLR029C
4932.YER013W	4932.YER172C
4932.YIL044C	4932.YPR141C
4932.YHR079C	4932.YHR102W
4932.YGL097W	4932.YOL128C
4932.YKR094C	4932.YLR048W
4932.YHL027W	4932.YKL171W
4932.YGR052W	4932.YMR199W
4932.YDR168W	4932.YGL210W
4932.YLR009W	4932.YNL306W
4932.YIL018W	4932.YLR264W
4932.YER111C	4932.YMR224C
4932.YBL063W	4932.YDR216W
4932.YDR263C	4932.YML032C
4932.YDR064W	4932.YJL189W
4932.YKL010C	4932.YLR369W
4932.YDL079C	4932.YKL193C
4932.YER190W	4932.YGL120C
4932.YGR052W	4932.YIL013C
4932.YBR088C	4932.YJR063W
4932.YJR068W	4932.YML078W
4932.YDL191W	4932.YNL096C
4932.YGR034W	4932.YOL023W
4932.YHR030C	4932.YKR090W
4932.YDL017W	4932.YPR007C
4932.YOR033C	4932.YOR207C
4932.YGL135W	4932.YLR281C
4932.YCR008W	4932.YJL187C
4932.YHR206W	4932.YKL161C
4932.YLR185W	4932.YPL090C
4932.YGR040W	4932.YLR034C
4932.YDR004W	4932.YOR144C
4932.YFL066C	4932.YNL118C
4932.YHR079C	4932.YHR216W
4932.YDR447C	4932.YGR085C
4932.YAL025C	4932.YGR103W
4932.YBR181C	4932.YLR344W
4932.YBR136W	4932.YGR099W
4932.YDL102W	4932.YGR258C
4932.YAR007C	4932.YJR050W
4932.YHR010W	4932.YHR148W
4932.YHR079C	4932.YIL126W
4932.YJL033W	4932.YLR419W
4932.YBR119W	4932.YER190W
4932.YJL190C	4932.YJR145C
4932.YMR182C	4932.YPR086W
4932.YKL193C	4932.YPL064C
4932.YDR216W	4932.YNL090W
4932.YEL061C	4932.YOR257W
4932.YBR031W	4932.YNL252C
4932.YER165W	4932.YOR234C
4932.YNL110C	4932.YOL077C
4932.YDL192W	4932.YNL304W
4932.YDL145C	4932.YMR037C
4932.YER040W	4932.YGR233C
4932.YJR066W	4932.YPL055C
4932.YDR235W	4932.YPL256C
4932.YBR048W	4932.YLR406C
4932.YGL213C	4932.YGL244W
4932.YLR357W	4932.YOR025W
4932.YBR084C-A	4932.YEL050C
4932.YDL226C	4932.YER031C
4932.YGL106W	4932.YMR043W
4932.YDL029W	4932.YJL111W
4932.YDR265W	4932.YMR026C
4932.YLR362W	4932.YOR101W
4932.YLR197W	4932.YMR288W
4932.YHR128W	4932.YKL062W
4932.YBR175W	4932.YDL137W
4932.YLR430W	4932.YPL024W
4932.YJL030W	4932.YKL143W
4932.YIL069C	4932.YNL162W
4932.YGL070C	4932.YOR319W
4932.YKL203C	4932.YLR442C
4932.YCL024W	4932.YHR206W
4932.YBR146W	4932.YHR010W
4932.YFR019W	4932.YJL052W
4932.YIL019W	4932.YJL069C
4932.YJL177W	4932.YPL143W
4932.YLR375W	4932.YMR236W
4932.YBR191W	4932.YPR132W
4932.YCL024W	4932.YLR466W
4932.YCL024W	4932.YHR086W
4932.YDL134C	4932.YGR203W
4932.YDR026C	4932.YER028C
4932.YBL111C	4932.YDR247W
4932.YDL060W	4932.YDL208W
4932.YOR226C	4932.YPL252C
4932.YAL030W	4932.YPR181C
4932.YIR013C	4932.YMR139W
4932.YJL056C	4932.YMR276W
4932.YKL198C	4932.YOR178C
4932.YAR007C	4932.YPL031C
4932.YGR233C	4932.YHR082C
4932.YDR507C	4932.YGL179C
4932.YJL191W	4932.YNL002C
4932.YDL209C	4932.YPR200C
4932.YCL043C	4932.YGR209C
4932.YDL029W	4932.YDR096W
4932.YHR207C	4932.YJL110C
4932.YER110C	4932.YJR075W
4932.YLR448W	4932.YOR167C
4932.YKR055W	4932.YMR182C
4932.YIL112W	4932.YOR362C
4932.YCL068C	4932.YPL026C
4932.YBR084C-A	4932.YNL112W
4932.YBR073W	4932.YNL021W
4932.YDR216W	4932.YNL154C
4932.YAL017W	4932.YBL021C
4932.YKL193C	4932.YLL001W
4932.YPR095C	4932.YPR165W
4932.YLR340W	4932.YPL079W
4932.YLR430W	4932.YMR139W
4932.YGL097W	4932.YMR139W
4932.YGL031C	4932.YHR170W
4932.YBR189W	4932.YNL178W
4932.YBR201W	4932.YKL197C
4932.YLR048W	4932.YNL163C
4932.YHR030C	4932.YNL217W
4932.YBR118W	4932.YHL033C
4932.YLR075W	4932.YLR448W
4932.YER176W	4932.YNL102W
4932.YDR129C	4932.YKR104W
4932.YDR247W	4932.YFR028C
4932.YJL054W	4932.YLL006W
4932.YGR034W	4932.YGR296W
4932.YCR063W	4932.YLR117C
4932.YDR064W	4932.YLR378C
4932.YBL111C	4932.YER107C
4932.YDR129C	4932.YLL048C
4932.YDR224C	4932.YKR094C
4932.YFR055W	4932.YGR012W
4932.YGL103W	4932.YLR340W
4932.YCR072C	4932.YER171W
4932.YNL147W	4932.YPR187W
4932.YEL009C	4932.YHR099W
4932.YDR177W	4932.YJR068W
4932.YGR278W	4932.YIL177C
4932.YBR008C	4932.YMR043W
4932.YKL161C	4932.YLL039C
4932.YIL036W	4932.YKR055W
4932.YMR033W	4932.YNL298W
4932.YDR500C	4932.YML024W
4932.YIL131C	4932.YJR059W
4932.YBL016W	4932.YKL101W
4932.YKL062W	4932.YLR113W
4932.YBR135W	4932.YDL155W
4932.YCR018C	4932.YLR182W
4932.YML064C	4932.YPL115C
4932.YDL229W	4932.YPR010C
4932.YGL194C	4932.YPL021W
4932.YGR233C	4932.YNL167C
4932.YKR055W	4932.YNL128W
4932.YEL056W	4932.YHR119W
4932.YJL112W	4932.YPR186C
4932.YJR113C	4932.YOR076C
4932.YBR146W	4932.YNL067W
4932.YGR118W	4932.YOL040C
4932.YER016W	4932.YMR109W
4932.YGR052W	4932.YKL062W
4932.YGR034W	4932.YPL283C
4932.YBR154C	4932.YPL063W
