>/home/user1/code/PPIKG/method/AFTGAN/data/SYS60k.seqs.tsv
>/home/user1/code/PPIKG/method/AFTGAN/data/SYS60k.txt
4932.YFR030W	4932.YHL027W
4932.YDR012W	4932.YDR139C
4932.YOL012C	4932.YOR025W
4932.YHL033C	4932.YNL113W
4932.YER133W	4932.YOR351C
4932.YAL007C	4932.YJR059W
4932.YDL155W	4932.YJR127C
4932.YJR066W	4932.YKR028W
4932.YDL079C	4932.YOR231W
4932.YDL213C	4932.YGL044C
4932.YDR002W	4932.YPL169C
4932.YBR082C	4932.YLR306W
4932.YBR044C	4932.YPR034W
4932.YHR129C	4932.YPR165W
4932.YBR055C	4932.YLR069C
4932.YHL015W	4932.YKL170W
4932.YDR092W	4932.YIR002C
4932.YBR201W	4932.YMR264W
4932.YDR459C	4932.YLR229C
4932.YIL126W	4932.YLR305C
4932.YMR159C	4932.YPL149W
4932.YGR179C	4932.YOL069W
4932.YJL034W	4932.YNL180C
4932.YGR254W	4932.YIL142W
4932.YGR159C	4932.YPL220W
4932.YNL128W	4932.YOR353C
4932.YBL112C	4932.YER103W
4932.YLR045C	4932.YLR182W
4932.YLR399C	4932.YML042W
4932.YGL128C	4932.YJL014W
4932.YHR118C	4932.YLL004W
4932.YCR003W	4932.YPR100W
4932.YCR065W	4932.YJL060W
4932.YLL039C	4932.YPL240C
4932.YAL021C	4932.YDR139C
4932.YLL050C	4932.YNL128W
4932.YCR027C	4932.YNL135C
4932.YAR019C	4932.YDL079C
4932.YBR084C-A	4932.YDL003W
4932.YBL040C	4932.YDL192W
4932.YER166W	4932.YLL050C
4932.YBL092W	4932.YNR036C
4932.YGR052W	4932.YKL101W
4932.YKR008W	4932.YMR104C
4932.YER169W	4932.YNL307C
4932.YNL069C	4932.YOR076C
4932.YGR044C	4932.YLR107W
4932.YGR187C	4932.YPL165C
4932.YGR070W	4932.YOR109W
4932.YDR164C	4932.YKR014C
4932.YJL096W	4932.YNR001C
4932.YCR038C	4932.YLR131C
4932.YCR052W	4932.YMR037C
4932.YML078W	4932.YNL209W
4932.YAL021C	4932.YDL048C
4932.YLR298C	4932.YOR353C
4932.YEL050C	4932.YLL045C
4932.YDR163W	4932.YDR364C
4932.YGR209C	4932.YOR018W
4932.YAL005C	4932.YIL021W
4932.YHR141C	4932.YMR276W
4932.YAL021C	4932.YIR001C
4932.YDR224C	4932.YIL130W
4932.YDL246C	4932.YLR460C
4932.YGR044C	4932.YKL198C
4932.YKL073W	4932.YPL141C
4932.YDR171W	4932.YJR046W
4932.YDR216W	4932.YGR252W
4932.YDL120W	4932.YLR304C
4932.YER095W	4932.YMR080C
4932.YBL084C	4932.YHR189W
4932.YLL051C	4932.YNL090W
4932.YBR276C	4932.YJL168C
4932.YER173W	4932.YIL021W
4932.YDR016C	4932.YOL069W
4932.YJR036C	4932.YPR120C
4932.YGL073W	4932.YPR080W
4932.YDL081C	4932.YDL202W
4932.YIL061C	4932.YPR182W
4932.YDL188C	4932.YPL038W
4932.YBL112C	4932.YNL139C
4932.YDL155W	4932.YHR084W
4932.YGL254W	4932.YMR104C
4932.YDL029W	4932.YMR182C
4932.YJL176C	4932.YKR034W
4932.YDR059C	4932.YGR233C
4932.YGR233C	4932.YOL001W
4932.YDR398W	4932.YPR137W
4932.YKL193C	4932.YOL128C
4932.YCR065W	4932.YNL330C
4932.YOR369C	4932.YPR010C
4932.YOL041C	4932.YOR341W
4932.YGL160W	4932.YKL193C
4932.YER133W	4932.YOL123W
4932.YKL161C	4932.YKL220C
4932.YBL072C	4932.YOL120C
4932.YKR090W	4932.YOR326W
4932.YDR216W	4932.YLR357W
4932.YDR176W	4932.YGR274C
4932.YGL070C	4932.YOR340C
4932.YAL030W	4932.YBR043C
4932.YER133W	4932.YOR195W
4932.YBR169C	4932.YDL140C
4932.YKL171W	4932.YPR013C
4932.YAR073W	4932.YHR082C
4932.YDR139C	4932.YKR001C
4932.YGL158W	4932.YPR052C
4932.YDL192W	4932.YOR101W
4932.YAL017W	4932.YMR104C
4932.YDR148C	4932.YIL042C
4932.YKL009W	4932.YMR286W
4932.YGL147C	4932.YLR367W
4932.YIL062C	4932.YOR181W
4932.YAL005C	4932.YNL031C
4932.YGL076C	4932.YMR188C
4932.YMR276W	4932.YOL121C
4932.YOR187W	4932.YPL183W-A
4932.YBR049C	4932.YHR079C
4932.YKR057W	4932.YLR344W
4932.YOR185C	4932.YPR068C
4932.YGL189C	4932.YMR194W
4932.YGR248W	4932.YMR084W
4932.YDR224C	4932.YJL076W
4932.YMR139W	4932.YOL065C
4932.YJR147W	4932.YLL024C
4932.YHL001W	4932.YLR185W
4932.YEL077C	4932.YPL026C
4932.YDL081C	4932.YMR230W
4932.YDR155C	4932.YJR045C
4932.YGL201C	4932.YJL194W
4932.YML025C	4932.YML073C
4932.YGL003C	4932.YPR180W
4932.YOL111C	4932.YOR117W
4932.YKL198C	4932.YLL008W
4932.YHR148W	4932.YPL013C
4932.YDL164C	4932.YOR224C
4932.YMR192W	4932.YPL249C-A
4932.YGR052W	4932.YHL027W
4932.YHR069C	4932.YPL198W
4932.YDL191W	4932.YDR337W
4932.YBL003C	4932.YFL029C
4932.YBR260C	4932.YKR055W
4932.YLR344W	4932.YOL040C
4932.YDR004W	4932.YDR263C
4932.YDR060W	4932.YPL012W
4932.YKL028W	4932.YPR034W
4932.YBR004C	4932.YPR183W
4932.YBL063W	4932.YML064C
4932.YBR066C	4932.YHR042W
4932.YBR172C	4932.YML024W
4932.YGL150C	4932.YHR129C
4932.YKL017C	4932.YPL141C
4932.YFL066C	4932.YLR419W
4932.YDR096W	4932.YPL239W
4932.YDR490C	4932.YHR079C
4932.YMR125W	4932.YNL067W
4932.YGL254W	4932.YHR030C
4932.YML063W	4932.YMR142C
4932.YDR382W	4932.YOR234C
4932.YLL011W	4932.YPR137W
4932.YHR147C	4932.YNL005C
4932.YJR125C	4932.YLR240W
4932.YLR375W	4932.YML126C
4932.YBR049C	4932.YCR018C
4932.YDR298C	4932.YKL080W
4932.YAL019W	4932.YIL075C
4932.YAL017W	4932.YBR214W
4932.YDL140C	4932.YNL230C
4932.YIL118W	4932.YJL201W
4932.YGL030W	4932.YLL039C
4932.YDL130W	4932.YDR450W
4932.YGR214W	4932.YNR037C
4932.YCR027C	4932.YIL001W
4932.YNL307C	4932.YOR231W
4932.YDL229W	4932.YNL077W
4932.YGR148C	4932.YNL081C
4932.YFR005C	4932.YGL251C
4932.YKL135C	4932.YPR104C
4932.YLR384C	4932.YMR312W
4932.YJL112W	4932.YLL001W
4932.YGR054W	4932.YNL178W
4932.YLL039C	4932.YNL116W
4932.YER031C	4932.YML081W
4932.YBL026W	4932.YDL213C
4932.YCR042C	4932.YOR207C
4932.YGR220C	4932.YMR230W
4932.YMR288W	4932.YNL112W
4932.YOR078W	4932.YPL126W
4932.YAL021C	4932.YDR473C
4932.YDR146C	4932.YLR182W
4932.YDR471W	4932.YLR048W
4932.YMR158W	4932.YOL111C
4932.YBR088C	4932.YER176W
4932.YGR260W	4932.YIL131C
4932.YBL008W	4932.YBR245C
4932.YDL056W	4932.YOR257W
4932.YJL155C	4932.YKL126W
4932.YDR021W	4932.YOR234C
4932.YHR129C	4932.YMR037C
4932.YBR154C	4932.YGL207W
4932.YCL024W	4932.YOL111C
4932.YKL116C	4932.YPL203W
4932.YBR175W	4932.YIL001W
4932.YGR044C	4932.YOR233W
4932.YBR118W	4932.YEL026W
4932.YCL024W	4932.YOL041C
4932.YBR221C	4932.YPR018W
4932.YNL098C	4932.YNL128W
4932.YNL307C	4932.YOL041C
4932.YKL197C	4932.YPL042C
4932.YGR138C	4932.YLR240W
4932.YDL195W	4932.YGR167W
4932.YJL177W	4932.YOL023W
4932.YLR439W	4932.YNL185C
4932.YDR436W	4932.YIL118W
4932.YHR205W	4932.YKR090W
4932.YDL002C	4932.YER028C
4932.YPL176C	4932.YPR104C
4932.YDL079C	4932.YJL187C
4932.YJL014W	4932.YKL145W
4932.YJL130C	4932.YMR068W
4932.YLR399C	4932.YPR054W
4932.YER016W	4932.YHR023W
4932.YER031C	4932.YER174C
4932.YDR139C	4932.YMR188C
4932.YGR091W	4932.YJL203W
4932.YDR045C	4932.YOR151C
4932.YBR179C	4932.YER122C
4932.YER031C	4932.YHR030C
4932.YCR027C	4932.YLR314C
4932.YKL166C	4932.YMR016C
4932.YAL014C	4932.YLR093C
4932.YDR158W	4932.YER073W
4932.YAL034W-A	4932.YBL063W
4932.YDR253C	4932.YGR003W
4932.YER102W	4932.YOL040C
4932.YBL026W	4932.YDR378C
4932.YGR054W	4932.YLL045C
4932.YBR198C	4932.YDR311W
4932.YNR016C	4932.YPL150W
4932.YGL078C	4932.YGR034W
4932.YIL150C	4932.YLR442C
4932.YGL076C	4932.YKR094C
4932.YCL024W	4932.YGR059W
4932.YGR152C	4932.YMR037C
4932.YJR035W	4932.YOR210W
4932.YBR089C-A	4932.YFR038W
4932.YMR068W	4932.YOR039W
4932.YGR218W	4932.YLR335W
4932.YAR073W	4932.YLR258W
4932.YBR009C	4932.YNL068C
4932.YDR311W	4932.YGR274C
4932.YDL029W	4932.YNL217W
4932.YBR109C	4932.YER103W
4932.YGL242C	4932.YPR186C
4932.YML025C	4932.YOL111C
4932.YDL140C	4932.YFR037C
4932.YBR279W	4932.YGL207W
4932.YDR025W	4932.YNL122C
4932.YBR180W	4932.YNL021W
4932.YNL180C	4932.YPL106C
4932.YLL039C	4932.YOL111C
4932.YKL166C	4932.YMR036C
4932.YER051W	4932.YLR131C
4932.YJL102W	4932.YOR288C
4932.YMR230W	4932.YNL096C
4932.YKL203C	4932.YMR033W
4932.YER172C	4932.YNR011C
4932.YDR115W	4932.YER050C
4932.YMR142C	4932.YNL284C
4932.YGR074W	4932.YNL147W
4932.YGL135W	4932.YPR043W
4932.YMR139W	4932.YPL242C
4932.YBR082C	4932.YGR052W
4932.YIL172C	4932.YKL174C
4932.YBR212W	4932.YER107C
4932.YDR394W	4932.YHR218W
4932.YJL137C	4932.YPL175W
4932.YBR181C	4932.YDR139C
4932.YJL138C	4932.YLR419W
4932.YGR113W	4932.YPL268W
4932.YDR075W	4932.YJR125C
4932.YGR203W	4932.YPR120C
4932.YLR399C	4932.YPL116W
4932.YPL213W	4932.YPR111W
4932.YNL209W	4932.YPR010C
4932.YNR036C	4932.YPL249C-A
4932.YER173W	4932.YNL262W
4932.YDR060W	4932.YLL045C
4932.YER031C	4932.YNL027W
4932.YDR086C	4932.YER087C-B
4932.YDL134C	4932.YGR109C
4932.YER107C	4932.YHR086W
4932.YJL177W	4932.YNL005C
4932.YCR014C	4932.YFR010W
4932.YDL029W	4932.YNR012W
4932.YAL021C	4932.YGR271W
4932.YJL008C	4932.YLR369W
4932.YAL035W	4932.YPR166C
4932.YCR084C	4932.YKR008W
4932.YAL005C	4932.YNL247W
4932.YBR025C	4932.YPL198W
4932.YBR164C	4932.YOL062C
4932.YDR481C	4932.YGL209W
4932.YBL103C	4932.YKL126W
4932.YBR251W	4932.YPL220W
4932.YBR049C	4932.YCR063W
4932.YHR010W	4932.YJR094W-A
4932.YAL040C	4932.YGR252W
4932.YGL209W	4932.YKL079W
4932.YGR034W	4932.YLR075W
4932.YFR031C-A	4932.YLR167W
4932.YHR084W	4932.YHR119W
4932.YGL242C	4932.YJR036C
4932.YHR083W	4932.YMR060C
4932.YER164W	4932.YHR207C
4932.YER174C	4932.YIL112W
4932.YFR003C	4932.YML016C
4932.YCR098C	4932.YFR034C
4932.YML117W	4932.YOL128C
4932.YBR082C	4932.YHR207C
4932.YDR129C	4932.YOR257W
4932.YDR039C	4932.YGR233C
4932.YEL030W	4932.YJL074C
4932.YHR174W	4932.YKR059W
4932.YOR231W	4932.YPL150W
4932.YBR088C	4932.YIL118W
4932.YDL047W	4932.YMR042W
4932.YGL189C	4932.YLR406C
4932.YDR116C	4932.YHR218W-A
4932.YDR507C	4932.YGR040W
4932.YDR086C	4932.YPR166C
4932.YBR079C	4932.YDR064W
4932.YGL116W	4932.YLR210W
4932.YEL054C	4932.YPL079W
4932.YMR116C	4932.YOR196C
4932.YJR113C	4932.YNR036C
4932.YLR248W	4932.YMR072W
4932.YKR055W	4932.YOL112W
4932.YGL058W	4932.YLR131C
4932.YBL021C	4932.YNL102W
4932.YCL067C	4932.YDR451C
4932.YGL043W	4932.YNL290W
4932.YAL005C	4932.YAL021C
4932.YDR099W	4932.YNR047W
4932.YBR009C	4932.YOL146W
4932.YDL192W	4932.YOR109W
4932.YMR139W	4932.YMR186W
4932.YDR099W	4932.YER111C
4932.YJL110C	4932.YNL167C
4932.YOL145C	4932.YPR013C
4932.YGL210W	4932.YJL132W
4932.YJL056C	4932.YKL182W
4932.YDL201W	4932.YMR290C
4932.YBR066C	4932.YBR155W
4932.YGR052W	4932.YLR248W
4932.YGR184C	4932.YPL106C
4932.YHR082C	4932.YNR012W
4932.YPL038W	4932.YPL216W
4932.YML049C	4932.YOL005C
4932.YLR433C	4932.YOR178C
4932.YER082C	4932.YKL099C
4932.YBR181C	4932.YDL213C
4932.YER031C	4932.YOR381W
4932.YBL075C	4932.YJL138C
4932.YDL229W	4932.YOL145C
4932.YHR082C	4932.YMR006C
4932.YBR198C	4932.YOR260W
4932.YDR418W	4932.YJL191W
4932.YDL061C	4932.YDR041W
4932.YLR229C	4932.YPR034W
4932.YNL081C	4932.YPR166C
4932.YER162C	4932.YIL143C
4932.YBR114W	4932.YDR510W
4932.YAL017W	4932.YIL061C
4932.YHL001W	4932.YMR242C
4932.YNL307C	4932.YPL154C
4932.YDR436W	4932.YLR229C
4932.YGL210W	4932.YGR232W
4932.YOR061W	4932.YOR269W
4932.YHR205W	4932.YMR036C
4932.YLR375W	4932.YNL238W
4932.YGR135W	4932.YPR180W
4932.YIL061C	4932.YMR146C
4932.YAR019C	4932.YPL213W
4932.YHR114W	4932.YOL036W
4932.YGL141W	4932.YNL209W
4932.YDL137W	4932.YKL073W
4932.YFR038W	4932.YNL312W
4932.YBR136W	4932.YDL230W
4932.YDR286C	4932.YNL141W
4932.YBR062C	4932.YKL010C
4932.YML064C	4932.YMR139W
4932.YDL083C	4932.YGL147C
4932.YDL140C	4932.YMR227C
4932.YOR233W	4932.YPL078C
4932.YBR268W	4932.YFR031C-A
4932.YIL001W	4932.YIL035C
4932.YLR077W	4932.YNR032W
4932.YPL150W	4932.YPR119W
4932.YKR014C	4932.YOR069W
4932.YBL087C	4932.YHR010W
4932.YDR533C	4932.YHR082C
4932.YDL101C	4932.YML058W
4932.YDR394W	4932.YOL139C
4932.YKL198C	4932.YKL212W
4932.YGR123C	4932.YMR042W
4932.YBR155W	4932.YER174C
4932.YDL070W	4932.YFR004W
4932.YBL021C	4932.YPR068C
4932.YAR035W	4932.YPR015C
4932.YBR118W	4932.YHR064C
4932.YLR167W	4932.YMR182C
4932.YDR099W	4932.YOL016C
4932.YDR118W	4932.YOR249C
4932.YLR048W	4932.YMR193W
4932.YBR125C	4932.YHR205W
4932.YHR205W	4932.YPL110C
4932.YBL063W	4932.YDR436W
4932.YDR021W	4932.YMR142C
4932.YBR175W	4932.YNL330C
4932.YDR092W	4932.YJL165C
4932.YHR147C	4932.YJL191W
4932.YGL106W	4932.YPL040C
4932.YDL190C	4932.YOR339C
4932.YHR082C	4932.YNL204C
4932.YJL132W	4932.YNL180C
4932.YBR082C	4932.YPL064C
4932.YAL030W	4932.YBR241C
4932.YBR048W	4932.YLR388W
4932.YBL084C	4932.YPL082C
4932.YGR220C	4932.YJL191W
4932.YKR083C	4932.YOR195W
4932.YCL008C	4932.YNR006W
4932.YGL147C	4932.YOL023W
4932.YBR160W	4932.YNL098C
4932.YBR143C	4932.YJL190C
4932.YCR084C	4932.YGL070C
4932.YOL069W	4932.YPR046W
4932.YBR283C	4932.YJR113C
4932.YBR084C-A	4932.YDL202W
4932.YGR232W	4932.YPL038W
4932.YAL021C	4932.YDR253C
4932.YBR154C	4932.YLR167W
4932.YLR287C-A	4932.YPR132W
4932.YGL210W	4932.YML081W
4932.YGL251C	4932.YLR419W
4932.YLR448W	4932.YML063W
4932.YGL103W	4932.YPL183W-A
4932.YIL112W	4932.YJR068W
4932.YDL202W	4932.YDR382W
4932.YHR098C	4932.YLR093C
4932.YJL035C	4932.YLR316C
4932.YHR128W	4932.YLR045C
4932.YBR136W	4932.YCR014C
4932.YHR082C	4932.YMR154C
4932.YDL084W	4932.YHR165C
4932.YDL217C	4932.YKL141W
4932.YGR276C	4932.YLR375W
4932.YER095W	4932.YPL239W
4932.YER038C	4932.YJL177W
4932.YBR048W	4932.YGL076C
4932.YGR186W	4932.YGR278W
4932.YGR195W	4932.YOR287C
4932.YDL075W	4932.YFR032C-A
4932.YHR030C	4932.YMR008C
4932.YJR142W	4932.YLR249W
4932.YEL037C	4932.YML073C
4932.YER133W	4932.YML081W
4932.YHR118C	4932.YLR274W
4932.YDR380W	4932.YER178W
4932.YDR457W	4932.YHR082C
4932.YGR233C	4932.YOR144C
4932.YDL114W	4932.YPL091W
4932.YBR066C	4932.YPL141C
4932.YEL026W	4932.YOR096W
4932.YKR094C	4932.YMR201C
4932.YOR293W	4932.YPR102C
4932.YBL038W	4932.YLR185W
4932.YER190W	4932.YNL292W
4932.YKR057W	4932.YLR441C
4932.YDR026C	4932.YLL008W
4932.YEL026W	4932.YFR016C
4932.YBL087C	4932.YGL123W
4932.YBL035C	4932.YBR202W
4932.YDL229W	4932.YJL074C
4932.YCR084C	4932.YHR216W
4932.YKR055W	4932.YLR362W
4932.YGL194C	4932.YGL254W
4932.YDL064W	4932.YER171W
4932.YGR188C	4932.YJL074C
4932.YDL025C	4932.YOR144C
4932.YHR079C	4932.YIL147C
4932.YKR099W	4932.YPL038W
4932.YHL019C	4932.YHR128W
4932.YGL189C	4932.YPL249C-A
4932.YER177W	4932.YOR269W
4932.YDR471W	4932.YLR388W
4932.YJL063C	4932.YOL066C
4932.YKR099W	4932.YML133C
4932.YKL170W	4932.YLR388W
4932.YJL112W	4932.YKL171W
4932.YDL002C	4932.YMR139W
4932.YGR148C	4932.YOR234C
4932.YHL007C	4932.YOR101W
4932.YMR104C	4932.YPR204W
4932.YAR019C	4932.YER174C
4932.YML073C	4932.YPR080W
4932.YGL048C	4932.YNL339C
4932.YBR214W	4932.YLR371W
4932.YBR189W	4932.YPR102C
4932.YIL118W	4932.YLL024C
4932.YGR034W	4932.YLR009W
4932.YDR253C	4932.YLR362W
4932.YDL106C	4932.YNL021W
4932.YJR065C	4932.YOR116C
4932.YDL185W	4932.YKL198C
4932.YDR379W	4932.YNL098C
4932.YML071C	4932.YPR105C
4932.YBR191W	4932.YLR333C
4932.YNL330C	4932.YOR304W
4932.YKR029C	4932.YPR093C
4932.YJR006W	4932.YMR080C
4932.YDR507C	4932.YJR066W
4932.YBL087C	4932.YOL127W
4932.YAR019C	4932.YNL128W
4932.YBR245C	4932.YDL029W
4932.YBL092W	4932.YHR148W
4932.YNL007C	4932.YPL232W
4932.YML126C	4932.YPL038W
4932.YHR015W	4932.YMR290C
4932.YMR242C	4932.YMR276W
4932.YDR188W	4932.YDR212W
4932.YER020W	4932.YNL304W
4932.YER171W	4932.YLR167W
4932.YHR205W	4932.YNR032W
4932.YIL114C	4932.YMR203W
4932.YLL005C	4932.YML075C
4932.YGL123W	4932.YMR125W
4932.YDR041W	4932.YLR406C
4932.YCR051W	4932.YDR190C
4932.YDL192W	4932.YIL112W
4932.YBR245C	4932.YER045C
4932.YKL107W	4932.YKL182W
4932.YLL038C	4932.YPR029C
4932.YLR375W	4932.YOL004W
4932.YGR188C	4932.YNL031C
4932.YLR467W	4932.YPL090C
4932.YBR136W	4932.YNL106C
4932.YBR031W	4932.YKL009W
4932.YNL189W	4932.YPR022C
4932.YER075C	4932.YKL126W
4932.YLR287C-A	4932.YNL284C
4932.YNL163C	4932.YPL013C
4932.YGL056C	4932.YPL031C
4932.YDR432W	4932.YMR125W
4932.YJR066W	4932.YMR224C
4932.YLR406C	4932.YOR182C
4932.YDL216C	4932.YNR037C
4932.YDR075W	4932.YOL128C
4932.YFL029C	4932.YGL240W
4932.YML064C	4932.YOL152W
4932.YNL112W	4932.YPR187W
4932.YGR044C	4932.YMR213W
4932.YBR079C	4932.YBR181C
4932.YAL029C	4932.YLR375W
4932.YDL079C	4932.YHL027W
4932.YLR002C	4932.YNL002C
4932.YGL049C	4932.YNL112W
4932.YHL014C	4932.YNL306W
4932.YBR073W	4932.YNL031C
4932.YOR145C	4932.YPL012W
4932.YIL113W	4932.YNL307C
4932.YER101C	4932.YPL125W
4932.YFL039C	4932.YJR059W
4932.YLR268W	4932.YML077W
4932.YKL129C	4932.YNL298W
4932.YDR099W	4932.YPR104C
4932.YMR125W	4932.YOL120C
4932.YFR031C-A	4932.YIL148W
4932.YGL194C	4932.YGR138C
4932.YBR010W	4932.YGR109C
4932.YHR005C	4932.YIL118W
4932.YCL024W	4932.YDL025C
4932.YDR167W	4932.YOR207C
4932.YBL016W	4932.YER125W
4932.YDL192W	4932.YMR306W
4932.YDR177W	4932.YLR207W
4932.YDR402C	4932.YHR042W
4932.YDR409W	4932.YLR303W
4932.YGL194C	4932.YMR176W
4932.YDL081C	4932.YLR344W
4932.YDL078C	4932.YNL113W
4932.YDR163W	4932.YDR385W
4932.YAL017W	4932.YLR131C
4932.YOR288C	4932.YOR373W
4932.YGR109C	4932.YJL187C
4932.YLR325C	4932.YMR142C
4932.YJR066W	4932.YOR005C
4932.YJR059W	4932.YNL298W
4932.YDL007W	4932.YGL049C
4932.YBR237W	4932.YMR240C
4932.YDL145C	4932.YDR170C
4932.YNL036W	4932.YPR003C
4932.YGL216W	4932.YGR218W
4932.YGL058W	4932.YGR109C
4932.YEL026W	4932.YPR166C
4932.YIL173W	4932.YJL154C
4932.YLR229C	4932.YOR141C
4932.YBL111C	4932.YOR117W
4932.YIL052C	4932.YNL306W
4932.YFR028C	4932.YPR054W
4932.YCL059C	4932.YDL208W
4932.YJL049W	4932.YJR102C
4932.YGR233C	4932.YMR276W
4932.YDL208W	4932.YGR085C
4932.YDL079C	4932.YHR076W
4932.YDL208W	4932.YER146W
4932.YCL024W	4932.YER045C
4932.YER126C	4932.YPR041W
4932.YDL209C	4932.YOR396W
4932.YBR044C	4932.YFR030W
4932.YBR212W	4932.YPR204W
4932.YGR138C	4932.YNL204C
4932.YDL017W	4932.YPR007C
4932.YDR225W	4932.YER045C
4932.YDR405W	4932.YKL167C
4932.YKR008W	4932.YOR156C
4932.YBL054W	4932.YDL076C
4932.YHL033C	4932.YOR369C
4932.YBR127C	4932.YDR289C
4932.YOL005C	4932.YPR110C
4932.YBR009C	4932.YGR232W
4932.YER111C	4932.YJL194W
4932.YBL050W	4932.YLR078C
4932.YCR018C	4932.YDR253C
4932.YDR025W	4932.YDR429C
4932.YJR068W	4932.YLR442C
4932.Q0250	4932.YHL027W
4932.YGR040W	4932.YNR060W
4932.YLL045C	4932.YPL064C
4932.YIL061C	4932.YKL145W
4932.YCR014C	4932.YKL203C
4932.YBR066C	4932.YGR123C
4932.YDL042C	4932.YNL031C
4932.YGR271W	4932.YOR159C
4932.YDL079C	4932.YML027W
4932.YDR524C	4932.YOL065C
4932.YLL067C	4932.YNL307C
4932.YGR044C	4932.YJR094C
4932.YBR089C-A	4932.YLR399C
4932.YLR009W	4932.YNR036C
4932.YGL210W	4932.YLR268W
4932.YLR117C	4932.YLR147C
4932.YFL038C	4932.YNL098C
4932.YDL130W	4932.YGL030W
4932.YDR135C	4932.YLR375W
4932.YDR260C	4932.YPR119W
4932.YBR043C	4932.YOR327C
4932.YNL209W	4932.YPR187W
4932.YDR253C	4932.YHR207C
4932.YEL037C	4932.YJR127C
4932.YBL088C	4932.YDR096W
4932.YDL084W	4932.YNL175C
4932.YLR147C	4932.YNL112W
4932.YFR028C	4932.YGR092W
4932.YGR233C	4932.YJR066W
4932.YMR008C	4932.YOR231W
4932.YBL038W	4932.YDL075W
4932.YDR146C	4932.YPL204W
4932.YGR138C	4932.YLR229C
4932.YER111C	4932.YMR043W
4932.YGL131C	4932.YPR023C
4932.YDL083C	4932.YGR148C
4932.YNR012W	4932.YPL239W
4932.YDL192W	4932.YGL035C
4932.YDL079C	4932.YDR422C
4932.YBR234C	4932.YCR051W
4932.YDL029W	4932.YLR321C
4932.YLR206W	4932.YPL259C
4932.YDR216W	4932.YHR050W
4932.YOL120C	4932.YPL131W
4932.YLR186W	4932.YML093W
4932.YBR208C	4932.YDR321W
4932.YGL068W	4932.YMR286W
4932.YER074W	4932.YGL135W
4932.YLR399C	4932.YOL054W
4932.YDL048C	4932.YFR016C
4932.YFL003C	4932.YNL082W
4932.YBR080C	4932.YGR048W
4932.YAL035W	4932.YGR118W
4932.YER176W	4932.YER179W
4932.YGR163W	4932.YML121W
4932.YCL043C	4932.YJR047C
4932.YNR012W	4932.YPL213W
4932.YML124C	4932.YPL256C
4932.YNL244C	4932.YOR396W
4932.YCR072C	4932.YMR227C
4932.YER133W	4932.YLR077W
4932.YKR062W	4932.YLR005W
4932.YLR029C	4932.YMR188C
4932.YDR116C	4932.YNR036C
4932.YBR066C	4932.YHR119W
4932.YDR533C	4932.YKL073W
4932.YDL061C	4932.YOR133W
4932.YBR234C	4932.YKL013C
4932.YDR146C	4932.YJL194W
4932.YBR164C	4932.YLR262C
4932.YDL213C	4932.YLR424W
4932.YKR094C	4932.YML026C
4932.YLL024C	4932.YMR024W
4932.YLR305C	4932.YOR353C
4932.YER031C	4932.YJL164C
4932.YHR147C	4932.YOR234C
4932.YDL202W	4932.YGR027C
4932.YDL007W	4932.YML092C
4932.YCR051W	4932.YLR131C
4932.YJL013C	4932.YJR035W
4932.YBR109C	4932.YLR113W
4932.YOR001W	4932.YOR287C
4932.YGL135W	4932.YOR312C
4932.YAL021C	4932.YJL112W
4932.YBL052C	4932.YNL097C
4932.YDL153C	4932.YLL045C
4932.YLR399C	4932.YNL330C
4932.YFL039C	4932.YNL079C
4932.YER025W	4932.YPR041W
4932.YDR418W	4932.YGL031C
4932.YIL035C	4932.YNL027W
4932.YGR038C-A	4932.YML045W-A
4932.YAL032C	4932.YLR147C
4932.YGL073W	4932.YOL068C
4932.YDR471W	4932.YNL096C
4932.YKL009W	4932.YPL198W
4932.YLR107W	4932.YLR131C
4932.YCR003W	4932.YNR037C
4932.YBR065C	4932.YLR117C
4932.YAL040C	4932.YOR339C
4932.YER028C	4932.YFL039C
4932.YDR004W	4932.YKL198C
4932.YDR059C	4932.YER081W
4932.YDL192W	4932.YPL031C
4932.YJL004C	4932.YMR142C
4932.YER171W	4932.YPR056W
4932.YDR432W	4932.YFL066C
4932.YBR084C-A	4932.YIL018W
4932.YCR084C	4932.YLR357W
4932.YBL075C	4932.YPL252C
4932.YNL055C	4932.YPR024W
4932.YDR115W	4932.YGL076C
4932.YBR084C-A	4932.YIL148W
4932.YBR146W	4932.YGL030W
4932.YDR139C	4932.YJR045C
4932.YDR419W	4932.YKL125W
4932.YGL189C	4932.YJR123W
4932.YBR059C	4932.YDR238C
4932.YDR119W	4932.YKL221W
4932.YMR108W	4932.YOR151C
4932.YLR013W	4932.YML027W
4932.YDR253C	4932.YHR042W
4932.YMR109W	4932.YNL079C
4932.YAR042W	4932.YGL035C
4932.YIL133C	4932.YPR043W
4932.YGR252W	4932.YOR151C
4932.YGL030W	4932.YPL081W
4932.YJR101W	4932.YMR104C
4932.YMR242C	4932.YOR076C
4932.YDR280W	4932.YGR055W
4932.YDR177W	4932.YLR240W
4932.YHR064C	4932.YJL162C
4932.YJL191W	4932.YOR133W
4932.YDL056W	4932.YDL155W
4932.YAL017W	4932.YGL208W
4932.YGL123W	4932.YMR158W
4932.YGL163C	4932.YMR037C
4932.YBR289W	4932.YFR037C
